Refid,country,continent,st_design,plant?,setting,species,serotype,plant_serotype,field_sources,field_outcomes,field_serotype,field_purpose,field_risk,field_interv,plant_species,plant_sources,plant_feedstuff,plant_outcomes,plant_serotype,plant_purpose,plant_innoc,plant_lab,plant_risk,plant_surv,plant_interv,trans_species,trans_sources,trans_feedstuff,trans_outcomes,trans_serotype,trans_purpose,trans_risk,retail_species,retail_sources,retail_feedstuff,retail_outcomes,retail_serotype,retail_purpose,retail_innoc,retail_lab,retail_risk,farm_species,farm_sources,farm_feedstuff,farm_outcomes,farm_serotype,farm_purpose,farm_innoc,farm_surv,farm_lab,farm_risk,farm_interv,NR_species,NR_sources,NR_feedstuff,NR_outcomes,NR_serotype,NR_purpose,NR_innoc,NR_surv,NR_lab,NR_risk,NR_interv,Comments
1693,South Africa,Africa,Single group observational,Yes,Feed manufacturing plant,Not Reported,S. Senftenberg,"Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Montevideo,Schwarzewngrund,Anatum,Infantis,Orion,Typhimurium,Enteritidis,Havana,Ohio,Muenchen,Idikan,Salford,Brancaster,Hadar",,,,,,,Not reported,feed,"dry grain,animal byproducts,Feeding yeast","Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Montevideo,Schwarzewngrund,Anatum,Infantis,Orion,Typhimurium,Enteritidis,Havana,Ohio,Muenchen,Idikan,Salford,Brancaster,Hadar","Estimating prevalence of Salmonella,Determining serotypes present",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1693,South Africa,Africa,Single group observational,Yes,Feed manufacturing plant,Not Reported,S. Mbandaka,"Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Montevideo,Schwarzewngrund,Anatum,Infantis,Orion,Typhimurium,Enteritidis,Havana,Ohio,Muenchen,Idikan,Salford,Brancaster,Hadar",,,,,,,Not reported,feed,"dry grain,animal byproducts,Feeding yeast","Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Montevideo,Schwarzewngrund,Anatum,Infantis,Orion,Typhimurium,Enteritidis,Havana,Ohio,Muenchen,Idikan,Salford,Brancaster,Hadar","Estimating prevalence of Salmonella,Determining serotypes present",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1693,South Africa,Africa,Single group observational,Yes,Feed manufacturing plant,Not Reported,S. Montevideo,"Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Montevideo,Schwarzewngrund,Anatum,Infantis,Orion,Typhimurium,Enteritidis,Havana,Ohio,Muenchen,Idikan,Salford,Brancaster,Hadar",,,,,,,Not reported,feed,"dry grain,animal byproducts,Feeding yeast","Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Montevideo,Schwarzewngrund,Anatum,Infantis,Orion,Typhimurium,Enteritidis,Havana,Ohio,Muenchen,Idikan,Salford,Brancaster,Hadar","Estimating prevalence of Salmonella,Determining serotypes present",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1693,South Africa,Africa,Single group observational,Yes,Feed manufacturing plant,Not Reported,S. Schwarzengrund,"Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Montevideo,Schwarzewngrund,Anatum,Infantis,Orion,Typhimurium,Enteritidis,Havana,Ohio,Muenchen,Idikan,Salford,Brancaster,Hadar",,,,,,,Not reported,feed,"dry grain,animal byproducts,Feeding yeast","Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Montevideo,Schwarzewngrund,Anatum,Infantis,Orion,Typhimurium,Enteritidis,Havana,Ohio,Muenchen,Idikan,Salford,Brancaster,Hadar","Estimating prevalence of Salmonella,Determining serotypes present",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1693,South Africa,Africa,Single group observational,Yes,Feed manufacturing plant,Not Reported,S. Anatum,"Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Montevideo,Schwarzewngrund,Anatum,Infantis,Orion,Typhimurium,Enteritidis,Havana,Ohio,Muenchen,Idikan,Salford,Brancaster,Hadar",,,,,,,Not reported,feed,"dry grain,animal byproducts,Feeding yeast","Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Montevideo,Schwarzewngrund,Anatum,Infantis,Orion,Typhimurium,Enteritidis,Havana,Ohio,Muenchen,Idikan,Salford,Brancaster,Hadar","Estimating prevalence of Salmonella,Determining serotypes present",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1693,South Africa,Africa,Single group observational,Yes,Feed manufacturing plant,Not Reported,S. Infantis,"Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Montevideo,Schwarzewngrund,Anatum,Infantis,Orion,Typhimurium,Enteritidis,Havana,Ohio,Muenchen,Idikan,Salford,Brancaster,Hadar",,,,,,,Not reported,feed,"dry grain,animal byproducts,Feeding yeast","Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Montevideo,Schwarzewngrund,Anatum,Infantis,Orion,Typhimurium,Enteritidis,Havana,Ohio,Muenchen,Idikan,Salford,Brancaster,Hadar","Estimating prevalence of Salmonella,Determining serotypes present",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1693,South Africa,Africa,Single group observational,Yes,Feed manufacturing plant,Not Reported,S. Enteritidis,"Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Montevideo,Schwarzewngrund,Anatum,Infantis,Orion,Typhimurium,Enteritidis,Havana,Ohio,Muenchen,Idikan,Salford,Brancaster,Hadar",,,,,,,Not reported,feed,"dry grain,animal byproducts,Feeding yeast","Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Montevideo,Schwarzewngrund,Anatum,Infantis,Orion,Typhimurium,Enteritidis,Havana,Ohio,Muenchen,Idikan,Salford,Brancaster,Hadar","Estimating prevalence of Salmonella,Determining serotypes present",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1693,South Africa,Africa,Single group observational,Yes,Feed manufacturing plant,Not Reported,S. Typhimurium,"Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Montevideo,Schwarzewngrund,Anatum,Infantis,Orion,Typhimurium,Enteritidis,Havana,Ohio,Muenchen,Idikan,Salford,Brancaster,Hadar",,,,,,,Not reported,feed,"dry grain,animal byproducts,Feeding yeast","Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Montevideo,Schwarzewngrund,Anatum,Infantis,Orion,Typhimurium,Enteritidis,Havana,Ohio,Muenchen,Idikan,Salford,Brancaster,Hadar","Estimating prevalence of Salmonella,Determining serotypes present",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9211,Pakistan,Asia,Analytical observational,Yes,Feed manufacturing plant,Poultry,S. Enteritidis,"Typhimurium,Enteritidis",,,,,,,"Broiler chickens,Laying hens",feed,"pelleted feed,animal byproducts,Commercial feed,Mash","Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Typhimurium,Enteritidis","Estimating prevalence of Salmonella,Determining serotypes present,Risk factors for prevalence or concentration of Salmonella",,,feed characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9211,Pakistan,Asia,Analytical observational,Yes,Feed manufacturing plant,Poultry,S. Typhimurium,"Typhimurium,Enteritidis",,,,,,,"Broiler chickens,Laying hens",feed,"pelleted feed,animal byproducts,Commercial feed,Mash","Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Typhimurium,Enteritidis","Estimating prevalence of Salmonella,Determining serotypes present,Risk factors for prevalence or concentration of Salmonella",,,feed characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4762,Saudi Arabia,Asia,Single group observational,Yes,"Feed manufacturing plant,On-farm (including farmed fish sites)",Poultry,S. spp,Not specified / any or all combined / Salmonella spp.,,,,,,,Broiler chickens,feed,"dry grain,Flour",Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,,,,,,,,,,,,,,,,,,,Broiler chickens,feed,Not specified,"Results were combined among sample types,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Mbandaka,Virchow,LIvingstone,Java,Concord","Estimating prevalence of Salmonella,Determining serotypes present",,,,,,,,,,,,,,,,,All samples from the feed mills were negative.
14663,India,Asia,Single group observational,Yes,Feed manufacturing plant,Swine,S. spp,Not specified / any or all combined / Salmonella spp.,,,,,,,Swine,feed,animal byproducts,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All samples were negative for Salmonella.
1689,China,Asia,Analytical observational,Yes,Feed manufacturing plant,Not Reported,S. Enteritidis,Not specified / any or all combined / Salmonella spp.,,,,,,,Not reported,feed,recycled food products,Prevalence / proportion positive,Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,fermentation / dry heat / hydrothermal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,food waste. You can work out the denominator from the Methods section.
10012,China,Asia,Diagnostic test evaluation,Yes,Feed manufacturing plant,Not Reported,S. spp,"Not specified / any or all combined / Salmonella spp.,Agona,Typhimurium,Aberdeen,Derby,London,Manhatan,Paratyphi B,paratyphi c,limete,nitra,hissar,abortus bovis,Paratyphi A",,,,,,,Not reported,feed,"Commercial feed,Fish meal,protamine","Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Agona,Typhimurium,Aberdeen,Derby,London,Manhatan,Paratyphi B,paratyphi c,limete,nitra,hissar,abortus bovis,Paratyphi A","Development of validation of methods for detection of Salmonella,Estimating prevalence of Salmonella,Determining serotypes present,Risk factors for prevalence or concentration of Salmonella",Naturally infected,"Culture-based,Other",feed characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10012,China,Asia,Diagnostic test evaluation,Yes,Feed manufacturing plant,Not Reported,S. Agona,"Not specified / any or all combined / Salmonella spp.,Agona,Typhimurium,Aberdeen,Derby,London,Manhatan,Paratyphi B,paratyphi c,limete,nitra,hissar,abortus bovis,Paratyphi A",,,,,,,Not reported,feed,"Commercial feed,Fish meal,protamine","Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Agona,Typhimurium,Aberdeen,Derby,London,Manhatan,Paratyphi B,paratyphi c,limete,nitra,hissar,abortus bovis,Paratyphi A","Development of validation of methods for detection of Salmonella,Estimating prevalence of Salmonella,Determining serotypes present,Risk factors for prevalence or concentration of Salmonella",Naturally infected,"Culture-based,Other",feed characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10012,China,Asia,Diagnostic test evaluation,Yes,Feed manufacturing plant,Not Reported,S. Typhimurium,"Not specified / any or all combined / Salmonella spp.,Agona,Typhimurium,Aberdeen,Derby,London,Manhatan,Paratyphi B,paratyphi c,limete,nitra,hissar,abortus bovis,Paratyphi A",,,,,,,Not reported,feed,"Commercial feed,Fish meal,protamine","Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Agona,Typhimurium,Aberdeen,Derby,London,Manhatan,Paratyphi B,paratyphi c,limete,nitra,hissar,abortus bovis,Paratyphi A","Development of validation of methods for detection of Salmonella,Estimating prevalence of Salmonella,Determining serotypes present,Risk factors for prevalence or concentration of Salmonella",Naturally infected,"Culture-based,Other",feed characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,India,Asia,Single group observational,Yes,Feed manufacturing plant,Not Reported,S. spp,"Not specified / any or all combined / Salmonella spp.,Bardo,Give,Orion,Typhimurium,Bareilly,Kedougou,Havana,Caminara",,,,,,,Not reported,"feed,equipment",Rapeseed,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Bardo,Give,Orion,Typhimurium,Bareilly,Kedougou,Havana,Caminara","Estimating prevalence of Salmonella,Determining serotypes present,Evaluation of interventions to reduce Salmonella",,,,,removal of deposits and adhered materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,India,Asia,Single group observational,Yes,Feed manufacturing plant,Not Reported,S. Typhimurium,"Not specified / any or all combined / Salmonella spp.,Bardo,Give,Orion,Typhimurium,Bareilly,Kedougou,Havana,Caminara",,,,,,,Not reported,"feed,equipment",Rapeseed,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Bardo,Give,Orion,Typhimurium,Bareilly,Kedougou,Havana,Caminara","Estimating prevalence of Salmonella,Determining serotypes present,Evaluation of interventions to reduce Salmonella",,,,,removal of deposits and adhered materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3716,Japan,Asia,Single group observational,Yes,Feed manufacturing plant,Not Reported,S. spp,"Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Anatum,Agona,Typhimurium,Cubana,Havana,Liverpool,Livingstone,Albany",,,,,,,Not reported,"equipment,environment",,"Prevalence / proportion positive,Molecular characteristics,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Anatum,Agona,Typhimurium,Cubana,Havana,Liverpool,Livingstone,Albany","Estimating prevalence of Salmonella,Determining serotypes present,Molecular characterization (descriptive),Comparison of serotypes between sources,Evaluation of interventions to reduce Salmonella",,,,,disinfection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3716,Japan,Asia,Single group observational,Yes,Feed manufacturing plant,Not Reported,S. Senftenberg,"Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Anatum,Agona,Typhimurium,Cubana,Havana,Liverpool,Livingstone,Albany",,,,,,,Not reported,"equipment,environment",,"Prevalence / proportion positive,Molecular characteristics,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Anatum,Agona,Typhimurium,Cubana,Havana,Liverpool,Livingstone,Albany","Estimating prevalence of Salmonella,Determining serotypes present,Molecular characterization (descriptive),Comparison of serotypes between sources,Evaluation of interventions to reduce Salmonella",,,,,disinfection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3716,Japan,Asia,Single group observational,Yes,Feed manufacturing plant,Not Reported,S. Mbandaka,"Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Anatum,Agona,Typhimurium,Cubana,Havana,Liverpool,Livingstone,Albany",,,,,,,Not reported,"equipment,environment",,"Prevalence / proportion positive,Molecular characteristics,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Anatum,Agona,Typhimurium,Cubana,Havana,Liverpool,Livingstone,Albany","Estimating prevalence of Salmonella,Determining serotypes present,Molecular characterization (descriptive),Comparison of serotypes between sources,Evaluation of interventions to reduce Salmonella",,,,,disinfection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3716,Japan,Asia,Single group observational,Yes,Feed manufacturing plant,Not Reported,S. Tennessee,"Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Anatum,Agona,Typhimurium,Cubana,Havana,Liverpool,Livingstone,Albany",,,,,,,Not reported,"equipment,environment",,"Prevalence / proportion positive,Molecular characteristics,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Anatum,Agona,Typhimurium,Cubana,Havana,Liverpool,Livingstone,Albany","Estimating prevalence of Salmonella,Determining serotypes present,Molecular characterization (descriptive),Comparison of serotypes between sources,Evaluation of interventions to reduce Salmonella",,,,,disinfection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3716,Japan,Asia,Single group observational,Yes,Feed manufacturing plant,Not Reported,S. Anatum,"Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Anatum,Agona,Typhimurium,Cubana,Havana,Liverpool,Livingstone,Albany",,,,,,,Not reported,"equipment,environment",,"Prevalence / proportion positive,Molecular characteristics,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Anatum,Agona,Typhimurium,Cubana,Havana,Liverpool,Livingstone,Albany","Estimating prevalence of Salmonella,Determining serotypes present,Molecular characterization (descriptive),Comparison of serotypes between sources,Evaluation of interventions to reduce Salmonella",,,,,disinfection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
