Refid,country,continent,st_design,farm?,setting,species,serotype,farm_serotype,field_sources,field_outcomes,field_serotype,field_purpose,field_risk,field_interv,plant_species,plant_sources,plant_feedstuff,plant_outcomes,plant_serotype,plant_purpose,plant_innoc,plant_lab,plant_risk,plant_surv,plant_interv,trans_species,trans_sources,trans_feedstuff,trans_outcomes,trans_serotype,trans_purpose,trans_risk,retail_species,retail_sources,retail_feedstuff,retail_outcomes,retail_serotype,retail_purpose,retail_innoc,retail_lab,retail_risk,farm_species,farm_sources,farm_feedstuff,farm_outcomes,farm_serotype,farm_purpose,farm_innoc,farm_surv,farm_lab,farm_risk,farm_interv,NR_species,NR_sources,NR_feedstuff,NR_outcomes,NR_serotype,NR_purpose,NR_innoc,NR_surv,NR_lab,NR_risk,NR_interv,Comments
715,Ghana,Africa,Single group observational,Yes,On-farm (including farmed fish sites),Poultry,S. spp,Not specified / any or all combined / Salmonella spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Poultry, not further specified",feed,dry grain,Prevalence / proportion positive,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,,,,,,,,,,,,,,"Technically, this was an intervention experiment on naturally contaminated feed. However, since there was no Salmonella in any of the feed prior to the intervention, it was really just a study of the prevalence of Salmonella in the feed. Likewise, since they didn't find any, they couldn't assess the AMR as they did for the bacterial species they did find."
4395,Kenya,Africa,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",Yes,On-farm (including farmed fish sites),Poultry,S. spp,"Not specified / any or all combined / Salmonella spp.,Enteritidis,Braenderup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chickens, not further specified",feed,Soya feed supplements,"Molecular characteristics,Results were combined among sample types,Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Enteritidis,Braenderup","Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive),Evaluation of linkage to illness in humans",,,,,,,,,,,,,,,,,
4395,Kenya,Africa,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",Yes,On-farm (including farmed fish sites),Poultry,S. Enteritidis,"Not specified / any or all combined / Salmonella spp.,Enteritidis,Braenderup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chickens, not further specified",feed,Soya feed supplements,"Molecular characteristics,Results were combined among sample types,Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Enteritidis,Braenderup","Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive),Evaluation of linkage to illness in humans",,,,,,,,,,,,,,,,,
1362,Nigeria,Africa,Single group observational,Yes,On-farm (including farmed fish sites),Poultry,S. spp,"Not specified / any or all combined / Salmonella spp.,Kentucky",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laying hens,feed,Not specified,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Kentucky","Estimating prevalence of Salmonella,Determining serotypes present",,,,,,,,,,,,,,,,,
1362,Nigeria,Africa,Single group observational,Yes,On-farm (including farmed fish sites),Poultry,S. Kentucky,"Not specified / any or all combined / Salmonella spp.,Kentucky",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laying hens,feed,Not specified,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Kentucky","Estimating prevalence of Salmonella,Determining serotypes present",,,,,,,,,,,,,,,,,
1432,Nigeria,Africa,Single group observational,Yes,On-farm (including farmed fish sites),Poultry,S. spp,Not specified / any or all combined / Salmonella spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laying hens,feed,Not specified,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,,,,,,,,,,,,,,They looked for Enteritidis in the feed but they did not find it. Not sure they clearly give the number of feed samples taken. None of the samples were positive.
9347,Nigeria,Africa,Analytical observational,Yes,On-farm (including farmed fish sites),Poultry,S. spp,Not specified / any or all combined / Salmonella spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Poultry, not further specified",feed,Not specified,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,,,,,,,,,,,,,,
10786,Nigeria,Africa,Single group observational,Yes,On-farm (including farmed fish sites),Poultry,S. spp,Not specified / any or all combined / Salmonella spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Broiler chickens,Laying hens",feed,Not specified,Results were combined among sample types,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,,,,,,,,,,,,,,
14917,Nigeria,Africa,Single group observational,Yes,On-farm (including farmed fish sites),Poultry,S. Enteritidis,Enteritidis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Poultry, not further specified",feed,Not specified,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment",Enteritidis,"Development or validation of surveillance methods,Estimating prevalence of Salmonella,Determining serotypes present",,,,,,,,,,,,,,,,,
19782,Uganda,Africa,Analytical observational,Yes,On-farm (including farmed fish sites),Poultry,S. spp,Not specified / any or all combined / Salmonella spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Broiler chickens,Laying hens",feed,Not specified,Results were combined among sample types,Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Risk factors for prevalence or concentration of Salmonella",,,,"farm characteristics,other",,,,,,,,,,,,,
9794,Nigeria,Africa,"Laboratory study (experimental, something manipulated)",Yes,On-farm (including farmed fish sites),Swine,S. spp,Not specified / any or all combined / Salmonella spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swine,feed,cassava,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator,Not specified / any or all combined / Salmonella spp.,"Estimating concentration of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,ensiling,,,,,,,,,,,,
9967,Nigeria,Africa,Single group observational,Yes,On-farm (including farmed fish sites),Swine,S. spp,Not specified / any or all combined / Salmonella spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swine,feed,Not specified,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator,Not specified / any or all combined / Salmonella spp.,Estimating concentration of Salmonella,,,,,,,,,,,,,,,,,
18165,Nigeria,Africa,Analytical observational,Yes,On-farm (including farmed fish sites),Swine,S. Typhimurium,"Infantis,Typhimurium,Derby",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swine,feed,Not specified,"Prevalence / proportion positive,Results were combined among sample types,Serotype(s) present in food / food environment / food equipment","Infantis,Typhimurium,Derby","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Risk factors for prevalence or concentration of Salmonella",,,,farm characteristics,,,,,,,,,,,,,
18165,Nigeria,Africa,Analytical observational,Yes,On-farm (including farmed fish sites),Swine,S. Derby,"Infantis,Typhimurium,Derby",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swine,feed,Not specified,"Prevalence / proportion positive,Results were combined among sample types,Serotype(s) present in food / food environment / food equipment","Infantis,Typhimurium,Derby","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Risk factors for prevalence or concentration of Salmonella",,,,farm characteristics,,,,,,,,,,,,,
18165,Nigeria,Africa,Analytical observational,Yes,On-farm (including farmed fish sites),Swine,S. Infantis,"Infantis,Typhimurium,Derby",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swine,feed,Not specified,"Prevalence / proportion positive,Results were combined among sample types,Serotype(s) present in food / food environment / food equipment","Infantis,Typhimurium,Derby","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Risk factors for prevalence or concentration of Salmonella",,,,farm characteristics,,,,,,,,,,,,,
631,South Africa,Africa,Analytical observational,Yes,On-farm (including farmed fish sites),Swine,S. spp,Not specified / any or all combined / Salmonella spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swine,feed,Not specified,Results were combined among sample types,Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Molecular characterization (descriptive),Comparison of molecular characterization between sources",,,,,,,,,,,,,,,,,
10661,Egypt,Africa,"Laboratory study (experimental, something manipulated)",Yes,On-farm (including farmed fish sites),Not Reported,S. spp,Not specified / any or all combined / Salmonella spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,poultry waste,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator,Not specified / any or all combined / Salmonella spp.,Estimating concentration of Salmonella,,,,,,,,,,,,,,,,,
11205,Nigeria,Africa,Clinical / field trial with natural disease exposure,Yes,On-farm (including farmed fish sites),Rabbit,S. spp,Not specified / any or all combined / Salmonella spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rabbits raised for meat,feed,poultry litter intended as feed,"Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,heat treatment by deep stacking,,,,,,,,,,,,
10234,Israel,Asia,Single group observational,Yes,"Field used to grow animal feeds,On-farm (including farmed fish sites)",Cattle or Buffalo,S. spp,Not specified / any or all combined / Salmonella spp.,"Crop in field,Soil",Prevalence / proportion positive,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cattle, not further specified",feed,"poultry litter intended as feed,Total mixed ration (TMR),Silage",Prevalence / proportion positive,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,,,,,,,,,,,,,,
1338,China,Asia,Diagnostic test evaluation,Yes,On-farm (including farmed fish sites),Cattle or Buffalo,S. spp,Not specified / any or all combined / Salmonella spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dairy cattle,feed,Not specified,Prevalence / proportion positive,Not specified / any or all combined / Salmonella spp.,"Development of validation of methods for detection of Salmonella,Estimating prevalence of Salmonella",Naturally infected,,"Culture-based,DNA-based,Enrichment methods",,,,,,,,,,,,,,No feed samples were positive for Salmonella. Tests compared were Culture vs PCR with pre-enrichment
2131,Iran,Asia,Single group observational,Yes,On-farm (including farmed fish sites),Cattle or Buffalo,S. spp,Not specified / any or all combined / Salmonella spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dairy cattle,feed,"Not specified,milk (fed to calves)",Prevalence / proportion positive,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,,,,,,,,,,,,,,They sampled milk fed to the calves and adult dairy cattle feed (type not specified)
1429,Qatar,Asia,Single group observational,Yes,On-farm (including farmed fish sites),Cattle or Buffalo,S. spp,Not specified / any or all combined / Salmonella spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cattle, not further specified",environment,,Prevalence / proportion positive,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,,,,,,,,,,,,,,
11648,South Korea,Asia,Analytical observational,Yes,On-farm (including farmed fish sites),Cattle or Buffalo,S. spp,Not specified / any or all combined / Salmonella spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cattle, not further specified",feed,Colostrum,"Prevalence / proportion positive,Concentration",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Estimating concentration of Salmonella",,,,,,,,,,,,,,,,,
9294,Thailand,Asia,Single group observational,Yes,On-farm (including farmed fish sites),Cattle or Buffalo,S. spp,Not specified / any or all combined / Salmonella spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cattle, not further specified",feed,"pelleted feed,poultry litter intended as feed,cassava meal,molasses","Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,"fermentation, pelleting",,,,,,,,,,,,
5707,Bangladesh,Asia,Analytical observational,Yes,On-farm (including farmed fish sites),Fish,S. spp,Not specified / any or all combined / Salmonella spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fish  / shellfish,feed,Duck weed,No results presented,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,,,,,,,,,,,,,,"I said ""On farm"" for setting because Figure 1 makes it look like the duckweek is being grown on the same site as where the fish are being farmed. They said they tested for Salmonella in the methods, but there is no mention of it in the results."
1176,China,Asia,Single group observational,Yes,On-farm (including farmed fish sites),Fish,S. spp,"Not specified / any or all combined / Salmonella spp.,Weltevreden,Typhimurium,1,4,[5],12:i:-,Stanley",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fish  / shellfish,feed,pelleted feed,Prevalence / proportion positive,"Not specified / any or all combined / Salmonella spp.,Weltevreden,Typhimurium,1,4,[5],12:i:-,Stanley",Estimating prevalence of Salmonella,,,,,,,,,,,,,,,,,
1176,China,Asia,Single group observational,Yes,On-farm (including farmed fish sites),Fish,S. Typhimurium,"Not specified / any or all combined / Salmonella spp.,Weltevreden,Typhimurium,1,4,[5],12:i:-,Stanley",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fish  / shellfish,feed,pelleted feed,Prevalence / proportion positive,"Not specified / any or all combined / Salmonella spp.,Weltevreden,Typhimurium,1,4,[5],12:i:-,Stanley",Estimating prevalence of Salmonella,,,,,,,,,,,,,,,,,
18834,India,Asia,Analytical observational,Yes,On-farm (including farmed fish sites),Fish,S. spp,Not specified / any or all combined / Salmonella spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fish  / shellfish,feed,"clam meat,formulated feed",Prevalence / proportion positive,Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Risk factors for prevalence or concentration of Salmonella",,,,feed characteristics,,,,,,,,,,,,,
5225,Thailand,Asia,Single group observational,Yes,On-farm (including farmed fish sites),Fish,S. spp,Not specified / any or all combined / Salmonella spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fish  / shellfish,feed,pelleted feed,Prevalence / proportion positive,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,,,,,,,,,,,,,,
4762,Saudi Arabia,Asia,Single group observational,Yes,"Feed manufacturing plant,On-farm (including farmed fish sites)",Poultry,S. spp,"Not specified / any or all combined / Salmonella spp.,Mbandaka,Virchow,LIvingstone,Java,Concord",,,,,,,Broiler chickens,feed,"dry grain,Flour",Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,,,,,,,,,,,,,,,,,,,Broiler chickens,feed,Not specified,"Results were combined among sample types,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Mbandaka,Virchow,LIvingstone,Java,Concord","Estimating prevalence of Salmonella,Determining serotypes present",,,,,,,,,,,,,,,,,All samples from the feed mills were negative.
4762,Saudi Arabia,Asia,Single group observational,Yes,"Feed manufacturing plant,On-farm (including farmed fish sites)",Poultry,S. Mbandaka,"Not specified / any or all combined / Salmonella spp.,Mbandaka,Virchow,LIvingstone,Java,Concord",,,,,,,Broiler chickens,feed,"dry grain,Flour",Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,,,,,,,,,,,,,,,,,,,Broiler chickens,feed,Not specified,"Results were combined among sample types,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Mbandaka,Virchow,LIvingstone,Java,Concord","Estimating prevalence of Salmonella,Determining serotypes present",,,,,,,,,,,,,,,,,All samples from the feed mills were negative.
199,Bangladesh,Asia,Single group observational,Yes,On-farm (including farmed fish sites),Poultry,S. spp,"Not specified / any or all combined / Salmonella spp.,Typhimurium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Broiler chickens,feed,Not specified,"Prevalence / proportion positive,Molecular characteristics,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Typhimurium","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,
199,Bangladesh,Asia,Single group observational,Yes,On-farm (including farmed fish sites),Poultry,S. Typhimurium,"Not specified / any or all combined / Salmonella spp.,Typhimurium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Broiler chickens,feed,Not specified,"Prevalence / proportion positive,Molecular characteristics,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Typhimurium","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,
221,Bangladesh,Asia,Analytical observational,Yes,On-farm (including farmed fish sites),Poultry,S. spp,Not specified / any or all combined / Salmonella spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Broiler chickens,feed,Not specified,"Prevalence / proportion positive,Results were combined among sample types",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive),Evaluation of interventions to reduce Salmonella",,,,,good farming practices project,,,,,,,,,,,,"They did serogrouping, not serotyping. They didn't examine AMR just for the feeds, but lumped all the positive samples from all places together."
9420,Bangladesh,Asia,Single group observational,Yes,On-farm (including farmed fish sites),Poultry,S. spp,Not specified / any or all combined / Salmonella spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Broiler chickens,feed,Not specified,"Prevalence / proportion positive,Concentration,Results were combined among sample types",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Estimating concentration of Salmonella,Determining antimicrobial resistance",,,,,,,,,,,,,,,,,
9786,Bangladesh,Asia,Single group observational,Yes,On-farm (including farmed fish sites),Poultry,S. spp,Not specified / any or all combined / Salmonella spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Broiler chickens,feed,Not specified,Results were combined among sample types,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,,,,,,,,,,,,,,
255,China,Asia,Single group observational,Yes,On-farm (including farmed fish sites),Poultry,S. spp,Not specified / any or all combined / Salmonella spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chickens, not further specified",feed,Not specified,"Prevalence / proportion positive,Molecular characteristics,Antimicrobial resistance,Results were combined among sample types",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,
532,China,Asia,Diagnostic test evaluation,Yes,On-farm (including farmed fish sites),Poultry,S. Typhimurium,"Pullorum,Typhimurium,Enteritidis,Gallinarum",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chickens, not further specified",feed,"Not specified,egg shells","None of the above,Serotype(s) present in food / food environment / food equipment","Pullorum,Typhimurium,Enteritidis,Gallinarum",Development of validation of methods for detection of Salmonella,Deliberately innoculated,,DNA-based,,,,,,,,,,,,,,Reported sensitivity of the diagnostic tests.
532,China,Asia,Diagnostic test evaluation,Yes,On-farm (including farmed fish sites),Poultry,S. Enteritidis,"Pullorum,Typhimurium,Enteritidis,Gallinarum",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chickens, not further specified",feed,"Not specified,egg shells","None of the above,Serotype(s) present in food / food environment / food equipment","Pullorum,Typhimurium,Enteritidis,Gallinarum",Development of validation of methods for detection of Salmonella,Deliberately innoculated,,DNA-based,,,,,,,,,,,,,,Reported sensitivity of the diagnostic tests.
1093,China,Asia,Analytical observational,Yes,On-farm (including farmed fish sites),Poultry,S. spp,Not specified / any or all combined / Salmonella spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laying hens,"feed,equipment",Not specified,"Prevalence / proportion positive,Molecular characteristics",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Molecular characterization (descriptive),Comparison of molecular characterization between sources",,,,,,,,,,,,,,,,,
2208,China,Asia,Clinical / field trial with natural disease exposure,Yes,On-farm (including farmed fish sites),Poultry,S. spp,Not specified / any or all combined / Salmonella spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laying hens,"feed,environment",Not specified,"Prevalence / proportion positive,Concentration,Survival time",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Estimating concentration of Salmonella,Estimating survival time of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,slightly acidic electrolyzed water,,,,,,,,,,,,It was a layer-breeder farm.
12961,China,Asia,Single group observational,Yes,On-farm (including farmed fish sites),Poultry,S. Enteritidis,Enteritidis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laying hens,feed,Not specified,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment",Enteritidis,"Development of validation of methods for detection of Salmonella,Estimating prevalence of Salmonella",Naturally infected,,DNA-based,,,,,,,,,,,,,,All feed samples were negative for Salmonella.
1736,India,Asia,Single group observational,Yes,On-farm (including farmed fish sites),Poultry,S. spp,Not specified / any or all combined / Salmonella spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laying hens,feed,"animal byproducts,Not specified",Prevalence / proportion positive,Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Determining antimicrobial resistance",,,,,,,,,,,,,,,,,
