Refid,country,st_design,setting,species,design,outcome,plant_species,field_sources,field_outcomes,field_serotype,field_purpose,field_risk,field_interv,plant_species,plant_sources,plant_feedstuff,plant_outcomes,plant_serotype,plant_purpose,plant_innoc,plant_lab,plant_risk,plant_surv,plant_interv,trans_species,trans_sources,trans_feedstuff,trans_outcomes,trans_serotype,trans_purpose,trans_risk,retail_species,retail_sources,retail_feedstuff,retail_outcomes,retail_serotype,retail_purpose,retail_innoc,retail_lab,retail_risk,farm_species,farm_sources,farm_feedstuff,farm_outcomes,farm_serotype,farm_purpose,farm_innoc,farm_surv,farm_lab,farm_risk,farm_interv,NR_species,NR_sources,NR_feedstuff,NR_outcomes,NR_serotype,NR_purpose,NR_innoc,NR_surv,NR_lab,NR_risk,NR_interv,Comments
4234,USA,Single group observational,Feed Manufacturing Plant,Cattle or Buffalo,Single group observational,,,,,,,,,Dairy cattle,feed,Not reported,"Prevalence / proportion positive,Results were combined among sample types",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,,,,,,Dairy cattle,feed,"pelleted feed,recycled food products,Not specified,Hay,corn silage,Silage,corn,Cottonseed,Straw,Beet pulp,fishmeal,pea flour","Prevalence / proportion positive,Molecular characteristics,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Mbandaka,Typhimurium,Meleagridis,Braenderup,Cerro","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,All feed mill samples were negative for Salmonella. The AMR results for feed were lumped with other environmental samples.
12495,Poland,Analytical observational,Field Used to Grow Animal Feeds,Cattle or Buffalo,Analytical observational,,Dairy cattle,Pasture / grass,Concentration,Not specified / any or all combined / Salmonella spp.,"Estimating concentration of Salmonella,Risk factors for prevalence or concentration of Salmonella",field characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13916,USA,Analytical observational,Field Used to Grow Animal Feeds,Cattle or Buffalo,Analytical observational,,Beef cattle,"Pasture / grass,Soil","Prevalence / proportion positive,Results were combined among sample types",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Determining serotypes present,Comparison of serotypes between sources,Risk factors for prevalence or concentration of Salmonella,Comparison of prevalence between sources","geographic region,season, climate or weather",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dairy cattle,Beef cattle,Swine,Poultry, not further specified",feed,"dry grain,Hay,Total mixed ration (TMR),extruded swine feed","Prevalence / proportion positive,Results were combined among sample types",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Determining serotypes present,Comparison of serotypes between sources,Risk factors for prevalence or concentration of Salmonella,Comparison of prevalence between sources",,,,"geographic region,season, climate,feed characteristics",,,,,,,,,,,,,
21441,USA,Analytical observational,Field Used to Grow Animal Feeds,Cattle or Buffalo,Analytical observational,,"Cattle, not further specified",Crop in field,Reported number of positive samples without a denominator,Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Risk factors for prevalence or concentration of Salmonella","geographic region,season, climate or weather",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cattle, not further specified",feed,"commercial feed, not otherwise specified,organic grains,organic mixed ration",Reported number of positive samples without a denominator,Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Risk factors for prevalence or concentration of Salmonella",,,,"geographic region,season, climate",,,,,,,,,,,,,
2030,Brazil,Challenge trial in natural setting (not lab),Field Used to Grow Animal Feeds,Cattle or Buffalo,Challenge trial in natural setting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7381,Sweden,Challenge trial in natural setting (not lab),Field Used to Grow Animal Feeds,Cattle or Buffalo,Challenge trial in natural setting,,"Cattle, not further specified",Animal feces present in the field,"Concentration,Survival time,Serotype(s) present in food / food environment / food equipment",Typhimurium,"Estimating concentration of Salmonella,Estimating survival time of Salmonella,Risk factors for prevalence or concentration of Salmonella","season, climate or weather",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12929,Egypt,Single group observational,Field Used to Grow Animal Feeds,Cattle or Buffalo,Single group observational,,"Cattle, not further specified","Crop in field,Irrigation water","Prevalence / proportion positive,Results were combined among sample types,Serotype(s) present in food / food environment / food equipment",Typhimurium,"Estimating prevalence of Salmonella,Determining serotypes present,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Egyptian clover and vegetative stage of corn are both cattle feeds, according to this paper."
18643,United Kingdom,Single group observational,Field Used to Grow Animal Feeds,Cattle or Buffalo,Single group observational,,"Dairy cattle,Beef cattle",Crop in field,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","derby,rissen,durham,newport,stanley,Typhimurium DT104","Estimating prevalence of Salmonella,Determining serotypes present",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dairy cattle,Beef cattle","feed,equipment",dry grain,Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,,,,,,,,,,,,,,
2189,United Kingdom,Analytical observational,On-farm,Cattle or Buffalo,Analytical observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13916,USA,Analytical observational,On-farm,Cattle or Buffalo,Analytical observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21441,USA,Analytical observational,On-farm,Cattle or Buffalo,Analytical observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1599,USA,Analytical observational,On-farm,Cattle or Buffalo,Analytical observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beef cattle,feed,Not specified,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment",Anatum,"Estimating prevalence of Salmonella,Determining serotypes present",,,,,,,,,,,,,,,,,
1621,USA,Analytical observational,On-farm,Cattle or Buffalo,Analytical observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1919,USA,Analytical observational,On-farm,Cattle or Buffalo,Analytical observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dairy cattle,equipment,,"Prevalence / proportion positive,Results were combined among sample types","Not specified / any or all combined / Salmonella spp.,Newport,Cerro","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present",,,,,,,,,,,,,,,,,
3445,USA,Analytical observational,On-farm,Cattle or Buffalo,Analytical observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dairy cattle,feed,"Total mixed ration (TMR),Silage,Mixed grain","Prevalence / proportion positive,Molecular characteristics,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Enteritidis,Gallinarum,Saintpaul,Lexington","Estimating prevalence of Salmonella,Determining serotypes present,Molecular characterization (descriptive),Risk factors for prevalence or concentration of Salmonella",,,,"season, climate,feed characteristics",,,,,,,,,,,,,"They sampled grain from a silo, but didn't specify if it was wet or dry grain or what kind of grain."
3647,United Kingdom,Analytical observational,On-farm,Cattle or Buffalo,Analytical observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dairy cattle,environment,,Results were combined among sample types,Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Risk factors for prevalence or concentration of Salmonella",,,,"geographic region,season, climate,farm characteristics,feed characteristics",,,,,,,,,,,,,"Unfortunately none of the data is usable because the risk factor analysis was whether a farm was positive (i.e. whether at least one environmental sample on the farm was positive for Salmonella, but they looked at many different types of environmental samples, not just feed and they did not separate out the farms that had positive feed environmental samples)."
3987,USA,Analytical observational,On-farm,Cattle or Buffalo,Analytical observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beef cattle,feed,"dry grain,Hay,Silage,corn","Prevalence / proportion positive,Molecular characteristics,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Anatum,Typhimurium,Cubana,Havana,Newport,Lexington,Oranienburg","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive),Risk factors for prevalence or concentration of Salmonella",,,,"season, climate,farm characteristics,feed characteristics",,,,,,,,,,,,,"feeds were hay, dry corn, high-moisture corn, silage and mixed ingredients"
5461,USA,Analytical observational,On-farm,Cattle or Buffalo,Analytical observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cattle, not further specified",feed,Not specified,"Prevalence / proportion positive,Molecular characteristics,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Montevideo,Muenchen,Meleagridis,Muenster,altona,Rough:gms:-,Rough:z:r6","Estimating prevalence of Salmonella,Determining serotypes present,Molecular characterization (descriptive),Risk factors for prevalence or concentration of Salmonella",,,,"farm characteristics,other",,,,,,,,,,,,,
9498,USA,Analytical observational,On-farm,Cattle or Buffalo,Analytical observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beef cattle,feed,"poultry litter intended as feed,Soybean meal,corn silage,Total mixed ration (TMR),corn,Cottonseed","Prevalence / proportion positive,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,stack depth,,,,,,,,,,,,
10314,Poland,Analytical observational,On-farm,Cattle or Buffalo,Analytical observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dairy cattle,feed,grass silage,Concentration,Not specified / any or all combined / Salmonella spp.,"Estimating concentration of Salmonella,Risk factors for prevalence or concentration of Salmonella",,,,"farm characteristics,other",,,,,,,,,,,,,
11648,South Korea,Analytical observational,On-farm,Cattle or Buffalo,Analytical observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cattle, not further specified",feed,Colostrum,"Prevalence / proportion positive,Concentration",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Estimating concentration of Salmonella",,,,,,,,,,,,,,,,,
12661,USA,Analytical observational,On-farm,Cattle or Buffalo,Analytical observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dairy cattle,Beef cattle",feed,"pelleted feed,mineral mix,Not specified,commercial feed, not otherwise specified,maize,dry forage,wet forage,dry byproduct,wet byproduct,grain,oil seeds,mixed feeds","Prevalence / proportion positive,Molecular characteristics,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Typhimurium,Thompson,Braenderup,Lille","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive),Risk factors for prevalence or concentration of Salmonella",,,,feed characteristics,,,,,,,,,,,,,
4083,USA,Challenge trial in natural setting (not lab),On-farm,Cattle or Buffalo,Challenge trial in natural setting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dairy cattle,feed,milk (fed to calves),"Concentration,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Estimating concentration of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,Pasteurizer,,,,,,,,,,,,
2818,USA,Clinical / field trial with natural disease exposure,On-farm,Cattle or Buffalo,Clinical / field trial with natural disease exposure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cattle, not further specified",feed,"dry grain,corn silage","Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Montevideo,Anatum,Meleagridis,Rough","Estimating prevalence of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,starling control,,,,,,,,,,,,
3296,Canada,Clinical / field trial with natural disease exposure,On-farm,Cattle or Buffalo,Clinical / field trial with natural disease exposure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cattle, not further specified",feed,forage,"Prevalence / proportion positive,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Typhimurium,Derby,Krefeld","Estimating prevalence of Salmonella,Determining serotypes present,Risk factors for prevalence or concentration of Salmonella",,,,other,,,,,,,,,,,,,manure treatment on soil and forage
7788,Not reported,Clinical / field trial with natural disease exposure,On-farm,Cattle or Buffalo,Clinical / field trial with natural disease exposure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beef cattle,feed,poultry litter intended as feed,Reported number of positive samples without a denominator,Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,deep-stacking vs shallow-stacking litter,,,,,,,,,,,,
9384,Nigeria,Clinical / field trial with natural disease exposure,On-farm,Cattle or Buffalo,Clinical / field trial with natural disease exposure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dairy cattle,feed,"pelleted feed,premix,cassava,corn bran,molasses,Sulphur,Salt","Results were combined among sample types,Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Estimating concentration of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,pelleting,,,,,,,,,,,,
9788,Nigeria,Clinical / field trial with natural disease exposure,On-farm,Cattle or Buffalo,Clinical / field trial with natural disease exposure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cattle, not further specified",feed,poultry litter intended as feed,"Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,heat treatment via deep stacking,,,,,,,,,,,,
1338,China,Diagnostic test evaluation,On-farm,Cattle or Buffalo,Diagnostic test evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dairy cattle,feed,Not specified,Prevalence / proportion positive,Not specified / any or all combined / Salmonella spp.,"Development of validation of methods for detection of Salmonella,Estimating prevalence of Salmonella",Naturally infected,,"Culture-based,DNA-based,Enrichment methods",,,,,,,,,,,,,,No feed samples were positive for Salmonella. Tests compared were Culture vs PCR with pre-enrichment
3900,USA,Diagnostic test evaluation,On-farm,Cattle or Buffalo,Diagnostic test evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dairy cattle,feed,Silage,"Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator","Not specified / any or all combined / Salmonella spp.,Enteritidis","Development of validation of methods for detection of Salmonella,Estimating prevalence of Salmonella",Both natural and innoculated evaluated,,"Culture-based,DNA-based",,,,,,,,,,,,,,They also tested naturally contaminated feed samples from a dairy farm but none were positive. They also reported detection limits (Table 3).
1424,USA,"Laboratory study (experimental, something manipulated)",On-farm,Cattle or Buffalo,Laboratory study (experimental),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dairy cattle,feed,Colostrum,"Concentration,Survival time,Serotype(s) present in food / food environment / food equipment",Dublin,Evaluation of interventions to reduce Salmonella,,,,,high-pressure processing,,,,,,,,,,,,
4806,Finland,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",On-farm,Cattle or Buffalo,Molecular studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4234,USA,Single group observational,On-farm,Cattle or Buffalo,Single group observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10234,Israel,Single group observational,On-farm,Cattle or Buffalo,Single group observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18643,United Kingdom,Single group observational,On-farm,Cattle or Buffalo,Single group observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607,Venezuela,Single group observational,On-farm,Cattle or Buffalo,Single group observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dairy cattle,Beef cattle",feed,"poultry litter intended as feed,commercial feed, not otherwise specified",Prevalence / proportion positive,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,,,,,,,,,,,,,,"""dual-purpose"" cattle. They reported AMR, but did not do so separately for feed."
1106,USA,Single group observational,On-farm,Cattle or Buffalo,Single group observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dairy cattle,feed,calf milk replacer,Prevalence / proportion positive,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,,,,,,,,,,,,,,No samples were positive for Salmonella
1429,Qatar,Single group observational,On-farm,Cattle or Buffalo,Single group observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cattle, not further specified",environment,,Prevalence / proportion positive,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,,,,,,,,,,,,,,
1737,USA,Single group observational,On-farm,Cattle or Buffalo,Single group observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beef cattle,feed,"dry grain,Not specified","Prevalence / proportion positive,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Muenchen,Kentucky,Newport","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present",,,,,,,,,,,,,,,,,
1738,USA,Single group observational,On-farm,Cattle or Buffalo,Single group observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beef cattle,feed,Not specified,"Prevalence / proportion positive,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Montevideo,Anatum,Muenchen,Meleagridis,Kentucky","Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,
1918,Australia,Single group observational,On-farm,Cattle or Buffalo,Single group observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2131,Iran,Single group observational,On-farm,Cattle or Buffalo,Single group observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dairy cattle,feed,"Not specified,milk (fed to calves)",Prevalence / proportion positive,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,,,,,,,,,,,,,,They sampled milk fed to the calves and adult dairy cattle feed (type not specified)
3426,USA,Single group observational,On-farm,Cattle or Buffalo,Single group observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dairy cattle,feed,Total mixed ration (TMR),"Prevalence / proportion positive,Molecular characteristics",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,
3488,Australia,Single group observational,On-farm,Cattle or Buffalo,Single group observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dairy cattle,feed,"dry grain,vegetable oil","Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator,Serotype(s) present in food / food environment / food equipment",Not specified / any or all combined / Salmonella spp.,Outbreak investigation,,,,,,,,,,,,,,,,,
3785,USA,Single group observational,On-farm,Cattle or Buffalo,Single group observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dairy cattle,feed,Not specified,"Prevalence / proportion positive,Results were combined among sample types","Not specified / any or all combined / Salmonella spp.,Newport","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive),Evaluation of interventions to reduce Salmonella,Outbreak investigation",,,,,separation of hospital and maternity pens,,,,,,,,,,,,
3943,Great Britain,Single group observational,On-farm,Cattle or Buffalo,Single group observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dairy cattle,environment,,"Results were combined among sample types,Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Serotype(s) present in food / food environment / food equipment",Java,"Determining antimicrobial resistance,Molecular characterization (descriptive),Outbreak investigation",,,,,,,,,,,,,,,,,Environmental samples from the dairy farm were serotype Java.
4066,USA,Single group observational,On-farm,Cattle or Buffalo,Single group observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dairy cattle,environment,,Results were combined among sample types,Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,
4235,USA,Single group observational,On-farm,Cattle or Buffalo,Single group observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dairy cattle,environment,,"Prevalence / proportion positive,Odds ratios / risk ratios,Results were combined among sample types",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Molecular characterization (descriptive),Risk factors for prevalence or concentration of Salmonella",,,,"geographic region,farm characteristics",,,,,,,,,,,,,
4428,USA,Single group observational,On-farm,Cattle or Buffalo,Single group observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dairy cattle,feed,"dry grain,pelleted feed,Brewers,Rapeseed,Soybean meal,corn,Cottonseed,Beet pulp,Wheat,Corn / barley mix,Canola,Corn gluten,Grass seed","Prevalence / proportion positive,Survival time,Results were combined among sample types",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Estimating survival time of Salmonella,Determining antimicrobial resistance",,,,,,,,,,,,,,,,,
4574,USA,Single group observational,On-farm,Cattle or Buffalo,Single group observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dairy cattle,Beef cattle",feed,"supplement,Not specified","Prevalence / proportion positive,Results were combined among sample types",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Determining serotypes present",,,,,,,,,,,,,,,,,"The risk factor analysis had the outcome ""veterinary-diagnosed clinical salmonellosis"" so it's not relevant to our review. The authors did not report which serotypes were found in the feed."
4939,USA,Single group observational,On-farm,Cattle or Buffalo,Single group observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dairy cattle,feed,poultry litter intended as feed,Prevalence / proportion positive,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,,,,,,,,,,,,,,All samples were negative for Salmonella.
5003,Not reported,Single group observational,On-farm,Cattle or Buffalo,Single group observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dairy cattle,feed,"calf milk replacer,Colostrum,milk (fed to calves)",Prevalence / proportion positive,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,,,,,,,,,,,,,,All samples were negative for Salmonella.
8090,Not reported,Single group observational,On-farm,Cattle or Buffalo,Single group observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cattle, not further specified",feed,milk (fed to calves),Prevalence / proportion positive,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,,,,,,,,,,,,,,The samples were all negative.
9294,Thailand,Single group observational,On-farm,Cattle or Buffalo,Single group observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cattle, not further specified",feed,"pelleted feed,poultry litter intended as feed,cassava meal,molasses","Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,"fermentation, pelleting",,,,,,,,,,,,
13493,Finland,Single group observational,On-farm,Cattle or Buffalo,Single group observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dairy cattle,"feed,equipment,environment","Total mixed ration (TMR),Silage","Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,eradication procedure,,,,,,,,,,,,
