Refid,year,country,continent,setting,outcome,NR_outcomes,plant_species,field_sources,field_outcomes,field_serotype,field_purpose,field_risk,field_interv,plant_species,plant_sources,plant_feedstuff,plant_outcomes,plant_serotype,plant_purpose,plant_innoc,plant_lab,plant_risk,plant_surv,plant_interv,trans_species,trans_sources,trans_feedstuff,trans_outcomes,trans_serotype,trans_purpose,trans_risk,retail_species,retail_sources,retail_feedstuff,retail_outcomes,retail_serotype,retail_purpose,retail_innoc,retail_lab,retail_risk,farm_species,farm_sources,farm_feedstuff,farm_outcomes,farm_serotype,farm_purpose,farm_innoc,farm_surv,farm_lab,farm_risk,farm_interv,NR_species,NR_sources,NR_feedstuff,NR_outcomes,NR_serotype,NR_purpose,NR_innoc,NR_surv,NR_lab,NR_risk,NR_interv,Comments
14042,2017,Ethiopia,Africa,On-farm,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chickens, not further specified",feed,"commercial feed, not otherwise specified",Prevalence / proportion positive,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,,,,,,,,,,,,,,
14917,2013,Nigeria,Africa,On-farm,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1647,2016,Ghana,Africa,On-farm,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18165,2006,Nigeria,Africa,On-farm,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
715,2019,Ghana,Africa,On-farm,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Poultry, not further specified",feed,dry grain,Prevalence / proportion positive,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,,,,,,,,,,,,,,"Technically, this was an intervention experiment on naturally contaminated feed. However, since there was no Salmonella in any of the feed prior to the intervention, it was really just a study of the prevalence of Salmonella in the feed. Likewise, since they didn't find any, they couldn't assess the AMR as they did for the bacterial species they did find."
843,2018,Algeria,Africa,On-farm,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Broiler chickens,feed,Not specified,Prevalence / proportion positive,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,,,,,,,,,,,,,,All feed samples were negative for Salmonella.
9143,2015,Nigeria,Africa,On-farm,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9261,2014,Nigeria,Africa,On-farm,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,2020,Ethiopia,Africa,On-farm,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11470,2019,Egypt,Africa,On-farm,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Broiler chickens,feed,Not specified,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment",Takoradi,"Estimating prevalence of Salmonella,Determining serotypes present",,,,,,,,,,,,,,,,,
1362,2017,Nigeria,Africa,On-farm,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laying hens,feed,Not specified,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Kentucky","Estimating prevalence of Salmonella,Determining serotypes present",,,,,,,,,,,,,,,,,
14917,2013,Nigeria,Africa,On-farm,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Poultry, not further specified",feed,Not specified,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment",Enteritidis,"Development or validation of surveillance methods,Estimating prevalence of Salmonella,Determining serotypes present",,,,,,,,,,,,,,,,,
1647,2016,Ghana,Africa,On-farm,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Broiler chickens,Laying hens",feed,Not specified,"Prevalence / proportion positive,Results were combined among sample types,Serotype(s) present in food / food environment / food equipment",Muenster,"Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,
18165,2006,Nigeria,Africa,On-farm,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swine,feed,Not specified,"Prevalence / proportion positive,Results were combined among sample types,Serotype(s) present in food / food environment / food equipment","Infantis,Typhimurium,Derby","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Risk factors for prevalence or concentration of Salmonella",,,,farm characteristics,,,,,,,,,,,,,
18237,1998,Egypt,Africa,On-farm,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Poultry, not further specified",feed,Not specified,"Concentration,Survival time,Serotype(s) present in food / food environment / food equipment",Typhimurium,"Estimating concentration of Salmonella,Estimating survival time of Salmonella,Evaluation of conditions associated with survival times",,"temperature,feed type",,,,,,,,,,,,,,,
4395,2002,Kenya,Africa,On-farm,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chickens, not further specified",feed,Soya feed supplements,"Molecular characteristics,Results were combined among sample types,Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Enteritidis,Braenderup","Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive),Evaluation of linkage to illness in humans",,,,,,,,,,,,,,,,,
9143,2015,Nigeria,Africa,On-farm,Serovar(s) Present,,,,,,,,,"Broiler chickens,Laying hens,Poultry, not further specified",feed,"Commercial feed,Mash","Prevalence / proportion positive,Results were combined among sample types",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Determining antimicrobial resistance",,,,,,,,,,,,,"Broiler chickens,Laying hens,Poultry, not further specified",feed,"commercial, not otherwise specified,Mash","Prevalence / proportion positive,Results were combined among sample types",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Determining antimicrobial resistance",,,,"Broiler chickens,Laying hens,Poultry, not further specified",feed,"commercial feed, not otherwise specified,Mash","Prevalence / proportion positive,Results were combined among sample types,Serotype(s) present in food / food environment / food equipment",Typhi,"Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present",,,,,,,,,,,,,,,,,
18237,1998,Egypt,Africa,On-farm,Survival Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9254,2010,Nigeria,Africa,Retail,Antimicrobial Resistance,,,,,,,,,,,,,,,,,,,,,,,,,,,"Laying hens,Poultry, not further specified",feed,"commercial, not otherwise specified,Mash","Antimicrobial resistance,Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Determining antimicrobial resistance",,,,,,,,,,,,,,,,,,,,,,,,,,
10359,2008,Nigeria,Africa,Retail,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,"Poultry, not further specified",feed,"commercial, not otherwise specified",Prevalence / proportion positive,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,,,,,,,,,,,,,,,,,,,,,,,
9143,2015,Nigeria,Africa,Retail,Prevalence,,,,,,,,,"Broiler chickens,Laying hens,Poultry, not further specified",feed,"Commercial feed,Mash","Prevalence / proportion positive,Results were combined among sample types",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Determining antimicrobial resistance",,,,,,,,,,,,,"Broiler chickens,Laying hens,Poultry, not further specified",feed,"commercial, not otherwise specified,Mash","Prevalence / proportion positive,Results were combined among sample types",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Determining antimicrobial resistance",,,,"Broiler chickens,Laying hens,Poultry, not further specified",feed,"commercial feed, not otherwise specified,Mash","Prevalence / proportion positive,Results were combined among sample types,Serotype(s) present in food / food environment / food equipment",Typhi,"Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present",,,,,,,,,,,,,,,,,
9261,2014,Nigeria,Africa,Retail,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,"Laying hens,Chickens, not further specified",feed,"commercial, not otherwise specified,Mash",Prevalence / proportion positive,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,"Laying hens,Chickens, not further specified",feed,Mash,"Prevalence / proportion positive,Antimicrobial resistance",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Determining antimicrobial resistance,Risk factors for prevalence or concentration of Salmonella",,,,"farm characteristics,feed characteristics",,,,,,,,,,,,,
10100,2011,Nigeria,Africa,Not Specified,Antimicrobial Resistance,"Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9429,2016,Nigeria,Africa,Not Specified,Antimicrobial Resistance,"Prevalence / proportion positive,Antimicrobial resistance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Poultry, not further specified",feed,not reported,"Prevalence / proportion positive,Antimicrobial resistance",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Determining antimicrobial resistance",,,,,,
9777,2011,Nigeria,Africa,Not Specified,Antimicrobial Resistance,"Prevalence / proportion positive,Molecular characteristics,Antimicrobial resistance,Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator,Serotype(s) present in food / food environment / food equipment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9777,2011,Nigeria,Africa,Not Specified,Molecular Characteristics,"Prevalence / proportion positive,Molecular characteristics,Antimicrobial resistance,Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator,Serotype(s) present in food / food environment / food equipment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4349,2002,Botswana,Africa,Not Specified,Prevalence,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9429,2016,Nigeria,Africa,Not Specified,Prevalence,"Prevalence / proportion positive,Antimicrobial resistance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9777,2011,Nigeria,Africa,Not Specified,Prevalence,"Prevalence / proportion positive,Molecular characteristics,Antimicrobial resistance,Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator,Serotype(s) present in food / food environment / food equipment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100,2011,Nigeria,Africa,Not Specified,Serovar(s) Present,"Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Poultry, not further specified",feed,Commercial feed,"Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment",Typhi,"Determining antimicrobial resistance,Determining serotypes present",,,,,,
4349,2002,Botswana,Africa,Not Specified,Serovar(s) Present,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cattle, not further specified",feed,not reported,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Anatum,Reading,Kedougou","Estimating prevalence of Salmonella,Determining serotypes present",,,,,,The feed samples were collected from an abattoir. I figured out the serotypes by crossreferencing Table 3 and Table 5.
9777,2011,Nigeria,Africa,Not Specified,Serovar(s) Present,"Prevalence / proportion positive,Molecular characteristics,Antimicrobial resistance,Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator,Serotype(s) present in food / food environment / food equipment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Broiler chickens,Laying hens,Poultry, not further specified",feed,"Commercial feed,Mash","Prevalence / proportion positive,Molecular characteristics,Antimicrobial resistance,Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator,Serotype(s) present in food / food environment / food equipment","Enteritidis,pullorum,Typhi","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive),Risk factors for prevalence or concentration of Salmonella",,,,feed characteristics,,
9266,2016,Turkey,Asia,Feed Manufacturing Plant,Antimicrobial Resistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3716,2006,Japan,Asia,Feed Manufacturing Plant,Molecular Characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9266,2016,Turkey,Asia,Feed Manufacturing Plant,Molecular Characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10012,2011,China,Asia,Feed Manufacturing Plant,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1376,2017,China,Asia,Feed Manufacturing Plant,Prevalence,,,,,,,,,Not reported,feed,"animal byproducts,Rapeseed,Commercial feed,Feeding yeast,Soybean meal",Prevalence / proportion positive,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,,,,,,,,,,Not reported,feed,"animal byproducts,commercial, not otherwise specified,Rapeseed,Soybean meal,Feeding yeast",Prevalence / proportion positive,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,Not reported,feed,"animal byproducts,commercial feed, not otherwise specified,Feeding yeast,Rapeseed,Soybean meal",Prevalence / proportion positive,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,,,,,,,,,,,,,,"The authors did not report what types of feed were sampled at which locations (mill, farm, store)"
1689,2015,China,Asia,Feed Manufacturing Plant,Prevalence,,,,,,,,,Not reported,feed,recycled food products,Prevalence / proportion positive,Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,fermentation / dry heat / hydrothermal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,food waste. You can work out the denominator from the Methods section.
359,2019,India,Asia,Feed Manufacturing Plant,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3716,2006,Japan,Asia,Feed Manufacturing Plant,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9211,2009,Pakistan,Asia,Feed Manufacturing Plant,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9266,2016,Turkey,Asia,Feed Manufacturing Plant,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10012,2011,China,Asia,Feed Manufacturing Plant,Serovar(s) Present,,,,,,,,,Not reported,feed,"Commercial feed,Fish meal,protamine","Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Agona,Typhimurium,Aberdeen,Derby,London,Manhatan,Paratyphi B,paratyphi c,limete,nitra,hissar,abortus bovis,Paratyphi A","Development of validation of methods for detection of Salmonella,Estimating prevalence of Salmonella,Determining serotypes present,Risk factors for prevalence or concentration of Salmonella",Naturally infected,"Culture-based,Other",feed characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,2019,India,Asia,Feed Manufacturing Plant,Serovar(s) Present,,,,,,,,,Not reported,"feed,equipment",Rapeseed,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Bardo,Give,Orion,Typhimurium,Bareilly,Kedougou,Havana,Caminara","Estimating prevalence of Salmonella,Determining serotypes present,Evaluation of interventions to reduce Salmonella",,,,,removal of deposits and adhered materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3716,2006,Japan,Asia,Feed Manufacturing Plant,Serovar(s) Present,,,,,,,,,Not reported,"equipment,environment",,"Prevalence / proportion positive,Molecular characteristics,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Anatum,Agona,Typhimurium,Cubana,Havana,Liverpool,Livingstone,Albany","Estimating prevalence of Salmonella,Determining serotypes present,Molecular characterization (descriptive),Comparison of serotypes between sources,Evaluation of interventions to reduce Salmonella",,,,,disinfection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9211,2009,Pakistan,Asia,Feed Manufacturing Plant,Serovar(s) Present,,,,,,,,,"Broiler chickens,Laying hens",feed,"pelleted feed,animal byproducts,Commercial feed,Mash","Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Typhimurium,Enteritidis","Estimating prevalence of Salmonella,Determining serotypes present,Risk factors for prevalence or concentration of Salmonella",,,feed characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9266,2016,Turkey,Asia,Feed Manufacturing Plant,Serovar(s) Present,,,,,,,,,Not reported,feed,"Feather meal,meat meal,blood meal,meat and bone meal,Chicken meal","Prevalence / proportion positive,Molecular characteristics,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Typhimurium,Enteritidis","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2700,2011,"Not reported,USA,Ecuador,Australia,Uruguay,Taiwan,Thailand,Chile,Peru,American Samoa",Asia,Feed Transportation,Antimicrobial Resistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471,2012,Japan,Asia,Feed Transportation,Molecular Characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2700,2011,"Not reported,USA,Ecuador,Australia,Uruguay,Taiwan,Thailand,Chile,Peru,American Samoa",Asia,Feed Transportation,Molecular Characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471,2012,Japan,Asia,Feed Transportation,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4682,2000,Japan,Asia,Feed Transportation,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
