Refid,User,Level,year,country,continent,st_design,setting,species,outcome,NR_species,plant_species,field_sources,field_outcomes,field_serotype,field_purpose,field_risk,field_interv,plant_species,plant_sources,plant_feedstuff,plant_outcomes,plant_serotype,plant_purpose,plant_innoc,plant_lab,plant_risk,plant_surv,plant_interv,trans_species,trans_sources,trans_feedstuff,trans_outcomes,trans_serotype,trans_purpose,trans_risk,retail_species,retail_sources,retail_feedstuff,retail_outcomes,retail_serotype,retail_purpose,retail_innoc,retail_lab,retail_risk,farm_species,farm_sources,farm_feedstuff,farm_outcomes,farm_serotype,farm_purpose,farm_innoc,farm_surv,farm_lab,farm_risk,farm_interv,NR_species,NR_sources,NR_feedstuff,NR_outcomes,NR_serotype,NR_purpose,NR_innoc,NR_surv,NR_lab,NR_risk,NR_interv,Comments
123,"jan.sargeant,SarahTotton,Ellen_Vriezen,Mikalya_Plishka",3,2020,Viet Nam,Asia,Single group observational,On-farm (including farmed fish sites),Swine,Serotype(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swine,feed,pelleted feed,"Prevalence / proportion positive,Molecular characteristics,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Weltevreden","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,
140,"Ellen_Vriezen,Mikalya_Plishka",3,2020,Italy,Europe,"Laboratory study (experimental, something manipulated)",Not specified,Not Reported,Prevalence,Not reported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,insects,Prevalence / proportion positive,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,,,"Study examined BSF larvae, which were obtained from a laboratory"
172,"Ellen_Vriezen,Mikalya_Plishka",3,2020,"Not reported,Germany,Great Britain,Denmark",Europe,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",Not specified,Not Reported,Antimicrobial Resistance,Not reported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,not reported,"Molecular characteristics,Antimicrobial resistance",Infantis,"Determining antimicrobial resistance,Molecular characterization (descriptive)",,,,,,
172,"Ellen_Vriezen,Mikalya_Plishka",3,2020,"Not reported,Germany,Great Britain,Denmark",Europe,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",Not specified,Not Reported,Molecular Characteristics,Not reported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,"Ellen_Vriezen,Mikalya_Plishka",3,2020,"Not reported,Germany,Great Britain,Denmark",Not Reported,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",Not specified,Not Reported,Antimicrobial Resistance,Not reported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,not reported,"Molecular characteristics,Antimicrobial resistance",Infantis,"Determining antimicrobial resistance,Molecular characterization (descriptive)",,,,,,
172,"Ellen_Vriezen,Mikalya_Plishka",3,2020,"Not reported,Germany,Great Britain,Denmark",Not Reported,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",Not specified,Not Reported,Molecular Characteristics,Not reported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,"Ellen_Vriezen,Mikalya_Plishka",3,2020,Bangladesh,Asia,Single group observational,On-farm (including farmed fish sites),Poultry,Antimicrobial Resistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Broiler chickens,feed,Not specified,"Prevalence / proportion positive,Molecular characteristics,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Typhimurium","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,
199,"Ellen_Vriezen,Mikalya_Plishka",3,2020,Bangladesh,Asia,Single group observational,On-farm (including farmed fish sites),Poultry,Molecular Characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Broiler chickens,feed,Not specified,"Prevalence / proportion positive,Molecular characteristics,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Typhimurium","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,
199,"Ellen_Vriezen,Mikalya_Plishka",3,2020,Bangladesh,Asia,Single group observational,On-farm (including farmed fish sites),Poultry,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Broiler chickens,feed,Not specified,"Prevalence / proportion positive,Molecular characteristics,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Typhimurium","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,
199,"Ellen_Vriezen,Mikalya_Plishka",3,2020,Bangladesh,Asia,Single group observational,On-farm (including farmed fish sites),Poultry,Serotype(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Broiler chickens,feed,Not specified,"Prevalence / proportion positive,Molecular characteristics,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Typhimurium","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,
221,"SarahTotton,Ellen_Vriezen",3,2020,Bangladesh,Asia,Analytical observational,On-farm (including farmed fish sites),Poultry,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Broiler chickens,feed,Not specified,"Prevalence / proportion positive,Results were combined among sample types",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive),Evaluation of interventions to reduce Salmonella",,,,,good farming practices project,,,,,,,,,,,,"They did serogrouping, not serotyping. They didn't examine AMR just for the feeds, but lumped all the positive samples from all places together."
243,"Ellen_Vriezen,Mikalya_Plishka",3,2020,Australia,Oceania,Analytical observational,On-farm (including farmed fish sites),Poultry,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laying hens,feed,Not specified,"Prevalence / proportion positive,Results were combined among sample types",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Determining serotypes present",,,,,,,,,,,,,,,,,
255,"Ellen_Vriezen,Mikalya_Plishka",3,2020,China,Asia,Single group observational,On-farm (including farmed fish sites),Poultry,Antimicrobial Resistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chickens, not further specified",feed,Not specified,"Prevalence / proportion positive,Molecular characteristics,Antimicrobial resistance,Results were combined among sample types",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,
255,"Ellen_Vriezen,Mikalya_Plishka",3,2020,China,Asia,Single group observational,On-farm (including farmed fish sites),Poultry,Molecular Characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chickens, not further specified",feed,Not specified,"Prevalence / proportion positive,Molecular characteristics,Antimicrobial resistance,Results were combined among sample types",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,
255,"Ellen_Vriezen,Mikalya_Plishka",3,2020,China,Asia,Single group observational,On-farm (including farmed fish sites),Poultry,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chickens, not further specified",feed,Not specified,"Prevalence / proportion positive,Molecular characteristics,Antimicrobial resistance,Results were combined among sample types",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,
260,"Ellen_Vriezen,Mikalya_Plishka",3,2020,Denmark,Europe,"Laboratory study (experimental, something manipulated)",Not specified,Not Reported,Concentration,Not reported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,"Ellen_Vriezen,Mikalya_Plishka",3,2020,Denmark,Europe,"Laboratory study (experimental, something manipulated)",Not specified,Not Reported,Serotype(s) Present,Not reported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,insects,"Concentration,Serotype(s) present in food / food environment / food equipment",Typhimurium,Development of validation of methods for detection of Salmonella,Deliberately innoculated,,Other,,,
262,"Ellen_Vriezen,Mikalya_Plishka",3,2020,Not reported,Not Reported,"Laboratory study (experimental, something manipulated)",Not specified,Not Reported,Prevalence,Not reported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,insects,Prevalence / proportion positive,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,,,
268,"jan.sargeant,SarahTotton,Ellen_Vriezen,Mikalya_Plishka",3,2020,Poland,Europe,"Laboratory study (experimental, something manipulated)",Not specified,Poultry,Concentration,Broiler chickens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Broiler chickens,feed,wet grain,Concentration,Enteritidis,Evaluation of interventions to reduce Salmonella,,,,,bacteriophage,
307,"SarahTotton,Ellen_Vriezen",3,2020,Germany,Europe,Diagnostic test evaluation,Not specified,Not Reported,Molecular Characteristics,Not reported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,not reported,Molecular characteristics,Not specified / any or all combined / Salmonella spp.,"Development of validation of methods for detection of Salmonella,Molecular characterization (descriptive)",Naturally infected,,DNA-based,,,For Q3 I picked Diagnostic test evaluation because it is the first thing mentioned in the Title and the Objectives. They do not indicate the results for feed specifically. I checked all of the Supplemental Materials and could find no mention of feed.
332,"SarahTotton,Ellen_Vriezen",3,2020,USA,North America,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",Feed manufacturing plant,Swine,Antimicrobial Resistance,,,,,,,,,Swine,"feed,equipment,environment","pelleted feed,Commercial feed","Molecular characteristics,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Senftenberg,Mbandaka,Schwarzewngrund,Agona,Javiana,Typhimurium,Rissen,Hartford,Kiambu,I 4,[5],12:i:-,Barranquilla,Bareilly,Braenderup,Cubana,Soerenga,Worthington","Molecular characterization (descriptive),Comparison of AMR patterns between sources,Comparison of serotypes between sources,Comparison of molecular characterization between sources",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,"SarahTotton,Ellen_Vriezen",3,2020,USA,North America,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",Feed manufacturing plant,Swine,Molecular Characteristics,,,,,,,,,Swine,"feed,equipment,environment","pelleted feed,Commercial feed","Molecular characteristics,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Senftenberg,Mbandaka,Schwarzewngrund,Agona,Javiana,Typhimurium,Rissen,Hartford,Kiambu,I 4,[5],12:i:-,Barranquilla,Bareilly,Braenderup,Cubana,Soerenga,Worthington","Molecular characterization (descriptive),Comparison of AMR patterns between sources,Comparison of serotypes between sources,Comparison of molecular characterization between sources",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,"SarahTotton,Ellen_Vriezen",3,2020,USA,North America,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",Feed manufacturing plant,Swine,Serotype(s) Present,,,,,,,,,Swine,"feed,equipment,environment","pelleted feed,Commercial feed","Molecular characteristics,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Senftenberg,Mbandaka,Schwarzewngrund,Agona,Javiana,Typhimurium,Rissen,Hartford,Kiambu,I 4,[5],12:i:-,Barranquilla,Bareilly,Braenderup,Cubana,Soerenga,Worthington","Molecular characterization (descriptive),Comparison of AMR patterns between sources,Comparison of serotypes between sources,Comparison of molecular characterization between sources",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Prevalence data were collected from a previous (published) study, so I'm not extracting it here."
354,"SarahTotton,Ellen_Vriezen",3,2019,New Zealand,Oceania,Single group observational,On-farm (including farmed fish sites),Poultry,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laying hens,feed,Not specified,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment",Thompson,"Estimating prevalence of Salmonella,Determining serotypes present",,,,,,,,,,,,,,,,,"They did risk analysis, but they could not have done it with feed as an outcome as only farm had Salmonella-positive feed."
354,"SarahTotton,Ellen_Vriezen",3,2019,New Zealand,Oceania,Single group observational,On-farm (including farmed fish sites),Poultry,Serotype(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laying hens,feed,Not specified,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment",Thompson,"Estimating prevalence of Salmonella,Determining serotypes present",,,,,,,,,,,,,,,,,"They did risk analysis, but they could not have done it with feed as an outcome as only farm had Salmonella-positive feed."
359,"Ellen_Vriezen,Mikalya_Plishka",3,2019,India,Asia,Single group observational,Feed manufacturing plant,Not Reported,Prevalence,,,,,,,,,Not reported,"feed,equipment",Rapeseed,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Bardo,Give,Orion,Typhimurium,Bareilly,Kedougou,Havana,Caminara","Estimating prevalence of Salmonella,Determining serotypes present,Evaluation of interventions to reduce Salmonella",,,,,removal of deposits and adhered materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,"Ellen_Vriezen,Mikalya_Plishka",3,2019,India,Asia,Single group observational,Feed manufacturing plant,Not Reported,Serotype(s) Present,,,,,,,,,Not reported,"feed,equipment",Rapeseed,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Bardo,Give,Orion,Typhimurium,Bareilly,Kedougou,Havana,Caminara","Estimating prevalence of Salmonella,Determining serotypes present,Evaluation of interventions to reduce Salmonella",,,,,removal of deposits and adhered materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,"SarahTotton,Ellen_Vriezen",3,2019,Brazil,South America,Single group observational,On-farm (including farmed fish sites),Swine,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swine,feed,Not specified,Prevalence / proportion positive,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,,,,,,,,,,,,,,
378,"SarahTotton,Ellen_Vriezen",3,2019,Malaysia,Asia,Single group observational,On-farm (including farmed fish sites),Poultry,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chickens, not further specified",feed,"Not specified,commercial feed, not otherwise specified","Prevalence / proportion positive,Results were combined among sample types",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Determining serotypes present",,,,,,,,,,,,,,,,,"They were meat chickens, but they were not commercial broiler chickens. Outcome of risk factor analysis was positive birds, not positive feed."
383,"SarahTotton,Ellen_Vriezen",3,2019,Brazil,South America,Analytical observational,On-farm (including farmed fish sites),Swine,Antimicrobial Resistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swine,feed,Not specified,"Prevalence / proportion positive,Molecular characteristics,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Mbandaka,Typhimurium,Derby","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Comparison of AMR patterns between sources",,,,,,,,,,,,,,,,,
383,"SarahTotton,Ellen_Vriezen",3,2019,Brazil,South America,Analytical observational,On-farm (including farmed fish sites),Swine,Molecular Characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swine,feed,Not specified,"Prevalence / proportion positive,Molecular characteristics,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Mbandaka,Typhimurium,Derby","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Comparison of AMR patterns between sources",,,,,,,,,,,,,,,,,
383,"SarahTotton,Ellen_Vriezen",3,2019,Brazil,South America,Analytical observational,On-farm (including farmed fish sites),Swine,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swine,feed,Not specified,"Prevalence / proportion positive,Molecular characteristics,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Mbandaka,Typhimurium,Derby","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Comparison of AMR patterns between sources",,,,,,,,,,,,,,,,,
383,"SarahTotton,Ellen_Vriezen",3,2019,Brazil,South America,Analytical observational,On-farm (including farmed fish sites),Swine,Serotype(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swine,feed,Not specified,"Prevalence / proportion positive,Molecular characteristics,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Mbandaka,Typhimurium,Derby","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Comparison of AMR patterns between sources",,,,,,,,,,,,,,,,,
419,"SarahTotton,Ellen_Vriezen",3,2019,Australia,Oceania,Analytical observational,Feed manufacturing plant,Poultry,OR/RR/HR,,,,,,,,,"Ruminants, not further specified,Swine,Poultry, not further specified","feed,equipment","Not reported,dry grain,pelleted feed,animal byproducts,Soybean meal,Sunflower meal,cottonseed meal,canola meal","Prevalence / proportion positive,Odds ratios / risk ratios,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Montevideo,Johannesburg,Anatum,Infantis,Agona,Amsterdam,4,12:d:-,Give,Orion,Typhimurium,Rissen,Kiambu,Cubana,Worthington,Havana,Singapore,Liverpool,Zanzibar,Cerro,Ohio,Adelaide,Livingstone,Muenchen,Orientalis,Bredeney,Lille,Oranienburg,Schwarzengrund,Fremantle,Hvittingfoss,Muenster,Potsdam,Sal.subsp 1 ser 6,7,Aberdeen,Banana,Derby,Kottbus,Newport,Ouakam,Virchow,Alachua,Albany,Alsterdorf,Chailey,Champaign,Charity,Idikan,Isangi,Paratyphi BV Java,Lansing,London,Menston,Minnesota,Putten,Ruiru,Saintpaul,Waltevreden,Wandsbek","Estimating prevalence of Salmonella,Determining serotypes present,Risk factors for prevalence or concentration of Salmonella",,,"plant characteristics,feed characteristics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
