Refid,User,Level,year,country,continent,st_design,setting,setting1,species,sources,plant_species,field_sources,field_outcomes,field_serotype,field_purpose,field_risk,field_interv,plant_species,plant_sources,plant_feedstuff,plant_outcomes,plant_serotype,plant_purpose,plant_innoc,plant_lab,plant_risk,plant_surv,plant_interv,trans_species,trans_sources,trans_feedstuff,trans_outcomes,trans_serotype,trans_purpose,trans_risk,retail_species,retail_sources,retail_feedstuff,retail_outcomes,retail_serotype,retail_purpose,retail_innoc,retail_lab,retail_risk,farm_species,farm_sources,farm_feedstuff,farm_outcomes,farm_serotype,farm_purpose,farm_innoc,farm_surv,farm_lab,farm_risk,farm_interv,NR_species,NR_sources,NR_feedstuff,NR_outcomes,NR_serotype,NR_purpose,NR_innoc,NR_surv,NR_lab,NR_risk,NR_interv,Comments,,NR_interv,Comments
18237,"Ellen_Vriezen,Mikalya_Plishka",3,1998,Egypt,Africa,Laboratory study (experimental),On-farm,On-farm (including farmed fish sites),Poultry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Poultry, not further specified",feed,Not specified,"Concentration,Survival time,Serotype(s) present in food / food environment / food equipment",Typhimurium,"Estimating concentration of Salmonella,Estimating survival time of Salmonella,Evaluation of conditions associated with survival times",,"temperature,feed type",,,,,,,,,,,,,,,,,,
19782,"Ellen_Vriezen,Mikalya_Plishka",3,1997,Uganda,Africa,Analytical observational,On-farm,On-farm (including farmed fish sites),Poultry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Broiler chickens,Laying hens",feed,Not specified,Results were combined among sample types,Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Risk factors for prevalence or concentration of Salmonella",,,,"farm characteristics,other",,,,,,,,,,,,,,,,
4395,"SarahTotton,Ellen_Vriezen",3,2002,Kenya,Africa,Molecular studies,On-farm,On-farm (including farmed fish sites),Poultry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chickens, not further specified",feed,Soya feed supplements,"Molecular characteristics,Results were combined among sample types,Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Enteritidis,Braenderup","Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive),Evaluation of linkage to illness in humans",,,,,,,,,,,,,,,,,,,,
631,"Ellen_Vriezen,Mikalya_Plishka",3,2019,South Africa,Africa,Analytical observational,On-farm,On-farm (including farmed fish sites),Swine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swine,feed,Not specified,Results were combined among sample types,Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Molecular characterization (descriptive),Comparison of molecular characterization between sources",,,,,,,,,,,,,,,,,,,,
715,"SarahTotton,Mikalya_Plishka",3,2019,Ghana,Africa,Single group observational,On-farm,On-farm (including farmed fish sites),Poultry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Poultry, not further specified",feed,dry grain,Prevalence / proportion positive,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,,,,,,,,,,,,,,"Technically, this was an intervention experiment on naturally contaminated feed. However, since there was no Salmonella in any of the feed prior to the intervention, it was really just a study of the prevalence of Salmonella in the feed. Likewise, since they didn't find any, they couldn't assess the AMR as they did for the bacterial species they did find.",,,
843,"SarahTotton,Ellen_Vriezen",3,2018,Algeria,Africa,Single group observational,On-farm,On-farm (including farmed fish sites),Poultry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Broiler chickens,feed,Not specified,Prevalence / proportion positive,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,,,,,,,,,,,,,,All feed samples were negative for Salmonella.,,,
9143,"SarahTotton,Mikalya_Plishka",3,2015,Nigeria,Africa,Single group observational,On-farm,"Feed manufacturing plant,Animal feed at retail,On-farm (including farmed fish sites)",Poultry,,,,,,,,,"Broiler chickens,Laying hens,Poultry, not further specified",feed,"Commercial feed,Mash","Prevalence / proportion positive,Results were combined among sample types",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Determining antimicrobial resistance",,,,,,,,,,,,,"Broiler chickens,Laying hens,Poultry, not further specified",feed,"commercial, not otherwise specified,Mash","Prevalence / proportion positive,Results were combined among sample types",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Determining antimicrobial resistance",,,,"Broiler chickens,Laying hens,Poultry, not further specified",feed,"commercial feed, not otherwise specified,Mash","Prevalence / proportion positive,Results were combined among sample types,Serotype(s) present in food / food environment / food equipment",Typhi,"Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present",,,,,,,,,,,,,,,,,,,,
9261,"SarahTotton,Ellen_Vriezen",3,2014,Nigeria,Africa,Analytical observational,On-farm,"Animal feed at retail,On-farm (including farmed fish sites)",Poultry,,,,,,,,,,,,,,,,,,,,,,,,,,,"Laying hens,Chickens, not further specified",feed,"commercial, not otherwise specified,Mash",Prevalence / proportion positive,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,"Laying hens,Chickens, not further specified",feed,Mash,"Prevalence / proportion positive,Antimicrobial resistance",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Determining antimicrobial resistance,Risk factors for prevalence or concentration of Salmonella",,,,"farm characteristics,feed characteristics",,,,,,,,,,,,,,,,
9347,"Ellen_Vriezen,Mikalya_Plishka",3,2017,Nigeria,Africa,Analytical observational,On-farm,On-farm (including farmed fish sites),Poultry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Poultry, not further specified",feed,Not specified,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,,,,,,,,,,,,,,,,,
9384,"Ellen_Vriezen,Mikalya_Plishka",3,2013,Nigeria,Africa,Clinical / field trial with natural disease exposure,On-farm,On-farm (including farmed fish sites),Cattle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dairy cattle,feed,"pelleted feed,premix,cassava,corn bran,molasses,Sulphur,Salt","Results were combined among sample types,Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Estimating concentration of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,pelleting,,,,,,,,,,,,,,,
96,"Ellen_Vriezen,Mikalya_Plishka",3,2020,Ethiopia,Africa,Analytical observational,On-farm,On-farm (including farmed fish sites),Poultry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chickens, not further specified",feed,Not specified,"Prevalence / proportion positive,Antimicrobial resistance",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Risk factors for prevalence or concentration of Salmonella",,,,"geographic region,farm characteristics,other",,,,,,,,,,,,,,,,
9788,"Ellen_Vriezen,Mikalya_Plishka",3,2009,Nigeria,Africa,Clinical / field trial with natural disease exposure,On-farm,On-farm (including farmed fish sites),Cattle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cattle, not further specified",feed,poultry litter intended as feed,"Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,heat treatment via deep stacking,,,,,,,,,,,,,,,
9794,"Ellen_Vriezen,Mikalya_Plishka",3,2019,Nigeria,Africa,Laboratory study (experimental),On-farm,On-farm (including farmed fish sites),Swine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swine,feed,cassava,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator,Not specified / any or all combined / Salmonella spp.,"Estimating concentration of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,ensiling,,,,,,,,,,,,,,,
9967,"Ellen_Vriezen,Mikalya_Plishka",3,2012,Nigeria,Africa,Single group observational,On-farm,On-farm (including farmed fish sites),Swine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swine,feed,Not specified,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator,Not specified / any or all combined / Salmonella spp.,Estimating concentration of Salmonella,,,,,,,,,,,,,,,,,,,,
10359,"SarahTotton,Ellen_Vriezen",3,2008,Nigeria,Africa,Analytical observational,Retail,Animal feed at retail,Poultry,,,,,,,,,,,,,,,,,,,,,,,,,,,"Poultry, not further specified",feed,"commercial, not otherwise specified",Prevalence / proportion positive,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9143,"SarahTotton,Mikalya_Plishka",3,2015,Nigeria,Africa,Single group observational,Retail,"Feed manufacturing plant,Animal feed at retail,On-farm (including farmed fish sites)",Poultry,,,,,,,,,"Broiler chickens,Laying hens,Poultry, not further specified",feed,"Commercial feed,Mash","Prevalence / proportion positive,Results were combined among sample types",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Determining antimicrobial resistance",,,,,,,,,,,,,"Broiler chickens,Laying hens,Poultry, not further specified",feed,"commercial, not otherwise specified,Mash","Prevalence / proportion positive,Results were combined among sample types",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Determining antimicrobial resistance",,,,"Broiler chickens,Laying hens,Poultry, not further specified",feed,"commercial feed, not otherwise specified,Mash","Prevalence / proportion positive,Results were combined among sample types,Serotype(s) present in food / food environment / food equipment",Typhi,"Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present",,,,,,,,,,,,,,,,,,,,
9254,"SarahTotton,Ellen_Vriezen",3,2010,Nigeria,Africa,Single group observational,Retail,Animal feed at retail,Poultry,,,,,,,,,,,,,,,,,,,,,,,,,,,"Laying hens,Poultry, not further specified",feed,"commercial, not otherwise specified,Mash","Antimicrobial resistance,Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Determining antimicrobial resistance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9261,"SarahTotton,Ellen_Vriezen",3,2014,Nigeria,Africa,Analytical observational,Retail,"Animal feed at retail,On-farm (including farmed fish sites)",Poultry,,,,,,,,,,,,,,,,,,,,,,,,,,,"Laying hens,Chickens, not further specified",feed,"commercial, not otherwise specified,Mash",Prevalence / proportion positive,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,"Laying hens,Chickens, not further specified",feed,Mash,"Prevalence / proportion positive,Antimicrobial resistance",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Determining antimicrobial resistance,Risk factors for prevalence or concentration of Salmonella",,,,"farm characteristics,feed characteristics",,,,,,,,,,,,,None of the retail feeds were positive for Salmonella.,,,
10100,"SarahTotton,Ellen_Vriezen",3,2011,Nigeria,Africa,Molecular studies,Not Specified,Not specified,Poultry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Poultry, not further specified",feed,Commercial feed,"Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment",Typhi,"Determining antimicrobial resistance,Determining serotypes present",,,,,,,,,"They found Agona in the residue (material egested by the larva), not in the larva themselves."
163,"SarahTotton,Ellen_Vriezen",3,2020,Kenya,Africa,Laboratory study (experimental),Not Specified,Not specified,Not Reported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,insects,"Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator",Not specified / any or all combined / Salmonella spp.,Evaluation of interventions to reduce Salmonella,,,,,processing method,"I answered Q4 based on the fact that it sounds like the insects are not directly fed to animals but instead are sent to feed factories ""there are opportunities for farmers to produce edible insects, which can be delivered to food and feed factories as a raw material for manufacturing value-added products.""",,,
4349,"SarahTotton,Mikalya_Plishka",3,2002,Botswana,Africa,Single group observational,Not Specified,Not specified,Cattle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cattle, not further specified",feed,not reported,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Anatum,Reading,Kedougou","Estimating prevalence of Salmonella,Determining serotypes present",,,,,,The feed samples were collected from an abattoir. I figured out the serotypes by crossreferencing Table 3 and Table 5.,,,
6478,"SarahTotton,Mikalya_Plishka",3,2015,Tunisia,Africa,Laboratory study (experimental),Not Specified,Not specified,Ruminants (Other),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ruminants, not further specified",feed,Brewers,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,,,All of the samples were negative for Salmonella.,,,
6485,"SarahTotton,Ellen_Vriezen",3,2015,Egypt,Africa,Laboratory study (experimental),Not Specified,Not specified,Fish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fish  / shellfish,feed,Chicken manure,"Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,fermentation,,,,
9429,"Ellen_Vriezen,Mikalya_Plishka",3,2016,Nigeria,Africa,Single group observational,Not Specified,Not specified,Poultry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Poultry, not further specified",feed,not reported,"Prevalence / proportion positive,Antimicrobial resistance",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Determining antimicrobial resistance",,,,,,,,,
9777,"Ellen_Vriezen,Mikalya_Plishka",3,2011,Nigeria,Africa,Analytical observational,Not Specified,Not specified,Poultry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Broiler chickens,Laying hens,Poultry, not further specified",feed,"Commercial feed,Mash","Prevalence / proportion positive,Molecular characteristics,Antimicrobial resistance,Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator,Serotype(s) present in food / food environment / food equipment","Enteritidis,pullorum,Typhi","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive),Risk factors for prevalence or concentration of Salmonella",,,,feed characteristics,,,,,
