Refid,User,Level,year,country,continent,st_design,NR?,setting,species,serotype,NR_serotype,field_sources,field_outcomes,field_serotype,field_purpose,field_risk,field_interv,plant_species,plant_sources,plant_feedstuff,plant_outcomes,plant_serotype,plant_purpose,plant_innoc,plant_lab,plant_risk,plant_surv,plant_interv,trans_species,trans_sources,trans_feedstuff,trans_outcomes,trans_serotype,trans_purpose,trans_risk,retail_species,retail_sources,retail_feedstuff,retail_outcomes,retail_serotype,retail_purpose,retail_innoc,retail_lab,retail_risk,farm_species,farm_sources,farm_feedstuff,farm_outcomes,farm_serotype,farm_purpose,farm_innoc,farm_surv,farm_lab,farm_risk,farm_interv,NR_species,NR_sources,NR_feedstuff,NR_outcomes,NR_serotype,NR_purpose,NR_innoc,NR_surv,NR_lab,NR_risk,NR_interv,Comments
4298,"SarahTotton,Mikalya_Plishka",3,2003,Norway,Europe,Molecular studies,Yes,"Feed manufacturing plant,Not specified",Fish,S. Montevideo,"Senftenberg,Montevideo,Schwarzewngrund,Anatum,Havana,Berta,cerro,Lille,Lexington,Livingstone,ohio,Stanley,Bere,6,7:b:-",,,,,,,Fish / shellfish,"feed,environment","Not reported,corn products,Fish meal","Molecular characteristics,Serotype(s) present in food / food environment / food equipment","Senftenberg,Tennessee,Montevideo,Anatum,Agona,Worthington,Enteritidis,Livingstone,Kentucky","Determining serotypes present,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fish  / shellfish,feed,"not reported,Fish meal","Molecular characteristics,Serotype(s) present in food / food environment / food equipment","Senftenberg,Montevideo,Schwarzewngrund,Anatum,Havana,Berta,cerro,Lille,Lexington,Livingstone,ohio,Stanley,Bere,6,7:b:-","Determining serotypes present,Molecular characterization (descriptive)",,,,,,"In the fish feed factories, environmental and feed samples were taken. In addition ""domestic and imported fish feed ingredients"" (source not reported) were included in this study."
4298,"SarahTotton,Mikalya_Plishka",3,2003,Norway,Europe,Molecular studies,Yes,"Feed manufacturing plant,Not specified",Fish,S. Anatum,"Senftenberg,Montevideo,Schwarzewngrund,Anatum,Havana,Berta,cerro,Lille,Lexington,Livingstone,ohio,Stanley,Bere,6,7:b:-",,,,,,,Fish / shellfish,"feed,environment","Not reported,corn products,Fish meal","Molecular characteristics,Serotype(s) present in food / food environment / food equipment","Senftenberg,Tennessee,Montevideo,Anatum,Agona,Worthington,Enteritidis,Livingstone,Kentucky","Determining serotypes present,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fish  / shellfish,feed,"not reported,Fish meal","Molecular characteristics,Serotype(s) present in food / food environment / food equipment","Senftenberg,Montevideo,Schwarzewngrund,Anatum,Havana,Berta,cerro,Lille,Lexington,Livingstone,ohio,Stanley,Bere,6,7:b:-","Determining serotypes present,Molecular characterization (descriptive)",,,,,,"In the fish feed factories, environmental and feed samples were taken. In addition ""domestic and imported fish feed ingredients"" (source not reported) were included in this study."
4298,"SarahTotton,Mikalya_Plishka",3,2003,Norway,Europe,Molecular studies,Yes,"Feed manufacturing plant,Not specified",Fish,S. Livingstone,"Senftenberg,Montevideo,Schwarzewngrund,Anatum,Havana,Berta,cerro,Lille,Lexington,Livingstone,ohio,Stanley,Bere,6,7:b:-",,,,,,,Fish / shellfish,"feed,environment","Not reported,corn products,Fish meal","Molecular characteristics,Serotype(s) present in food / food environment / food equipment","Senftenberg,Tennessee,Montevideo,Anatum,Agona,Worthington,Enteritidis,Livingstone,Kentucky","Determining serotypes present,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fish  / shellfish,feed,"not reported,Fish meal","Molecular characteristics,Serotype(s) present in food / food environment / food equipment","Senftenberg,Montevideo,Schwarzewngrund,Anatum,Havana,Berta,cerro,Lille,Lexington,Livingstone,ohio,Stanley,Bere,6,7:b:-","Determining serotypes present,Molecular characterization (descriptive)",,,,,,"In the fish feed factories, environmental and feed samples were taken. In addition ""domestic and imported fish feed ingredients"" (source not reported) were included in this study."
11707,"SarahTotton,Ellen_Vriezen",3,2012,Austria,Europe,Analytical observational,Yes,"Feed manufacturing plant,On-farm (including farmed fish sites),Not specified",Poultry,S. Agona,Agona,,,,,,,"Laying hens,Poultry, not further specified",feed,"Not reported,Commercial feed,Soybean meal","Prevalence / proportion positive,Molecular characteristics,Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator,Serotype(s) present in food / food environment / food equipment",Mbandaka,"Estimating prevalence of Salmonella,Molecular characterization (descriptive),Outbreak investigation",,,,,,,,,,,,,,,,,,,,,,Laying hens,feed,"commercial feed, not otherwise specified,compound feed","Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Serotype(s) present in food / food environment / food equipment",Agona,Outbreak investigation,,,,,,Laying hens,feed,"Commercial feed,soybean meal","Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment",Agona,Outbreak investigation,,,,,,
268,"jan.sargeant,SarahTotton,Ellen_Vriezen,Mikalya_Plishka",3,2020,Poland,Europe,Laboratory study (experimental),Yes,Not specified,Poultry,S. Enteritidis,Enteritidis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Broiler chickens,feed,wet grain,Concentration,Enteritidis,Evaluation of interventions to reduce Salmonella,,,,,bacteriophage,
15931,"SarahTotton,Ellen_Vriezen",3,2006,Italy,Europe,Laboratory study (experimental),Yes,Not specified,Poultry,S. Enteritidis,Enteritidis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laying hens,feed,not reported,"None of the above,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator,Serotype(s) present in food / food environment / food equipment",Enteritidis,"Estimating concentration of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,SILVA FEED ENC®,Outcome reported was growth inhibition.
2356,"SarahTotton,Mikalya_Plishka",3,2013,United Kingdom,Europe,Laboratory study (experimental),Yes,Not specified,Poultry,S. Enteritidis,Enteritidis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laying hens,feed,wet grain,"Concentration,Survival time,Serotype(s) present in food / food environment / food equipment",Enteritidis,"Estimating concentration of Salmonella,Estimating survival time of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,"organic acids, formaldehyde",Only Enteritidis is used in the feed matrix study.
1491,"Ellen_Vriezen,Mikalya_Plishka",3,2016,Poland,Europe,Molecular studies,Yes,Not specified,Poultry,S. Mbandaka,Mbandaka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Poultry, not further specified",feed,not reported,"Molecular characteristics,Antimicrobial resistance",Mbandaka,"Determining antimicrobial resistance,Molecular characterization (descriptive)",,,,,,
4961,SarahTotton,3,1998,Germany,Europe,Single group observational,Yes,Not specified,Poultry,S. Mbandaka,"Mbandaka,Tennessee,Montevideo,Infantis,Agona,Enteritidis,Rissen,ohio,II,Virchow,Othmarschen,Grampian,Kivu,Newington,Mokola,Newlands,Ohlstedt,Weltevreden",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laying hens,feed,not reported,"Prevalence / proportion positive,Molecular characteristics,Antimicrobial resistance,Results were combined among sample types,Serotype(s) present in food / food environment / food equipment","Mbandaka,Tennessee,Montevideo,Infantis,Agona,Enteritidis,Rissen,ohio,II,Virchow,Othmarschen,Grampian,Kivu,Newington,Mokola,Newlands,Ohlstedt,Weltevreden","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive)",,,,,,"They reported feed from the manufacturer and on-farm feed together, and thus ""Not specified"" was selected for settings. They did not report the prevalence separately for feed from the manufacturer vs feed from the farm."
4961,SarahTotton,3,1998,Germany,Europe,Single group observational,Yes,Not specified,Poultry,S. Tennessee,"Mbandaka,Tennessee,Montevideo,Infantis,Agona,Enteritidis,Rissen,ohio,II,Virchow,Othmarschen,Grampian,Kivu,Newington,Mokola,Newlands,Ohlstedt,Weltevreden",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laying hens,feed,not reported,"Prevalence / proportion positive,Molecular characteristics,Antimicrobial resistance,Results were combined among sample types,Serotype(s) present in food / food environment / food equipment","Mbandaka,Tennessee,Montevideo,Infantis,Agona,Enteritidis,Rissen,ohio,II,Virchow,Othmarschen,Grampian,Kivu,Newington,Mokola,Newlands,Ohlstedt,Weltevreden","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive)",,,,,,"They reported feed from the manufacturer and on-farm feed together, and thus ""Not specified"" was selected for settings. They did not report the prevalence separately for feed from the manufacturer vs feed from the farm."
4961,SarahTotton,3,1998,Germany,Europe,Single group observational,Yes,Not specified,Poultry,S. Montevideo,"Mbandaka,Tennessee,Montevideo,Infantis,Agona,Enteritidis,Rissen,ohio,II,Virchow,Othmarschen,Grampian,Kivu,Newington,Mokola,Newlands,Ohlstedt,Weltevreden",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laying hens,feed,not reported,"Prevalence / proportion positive,Molecular characteristics,Antimicrobial resistance,Results were combined among sample types,Serotype(s) present in food / food environment / food equipment","Mbandaka,Tennessee,Montevideo,Infantis,Agona,Enteritidis,Rissen,ohio,II,Virchow,Othmarschen,Grampian,Kivu,Newington,Mokola,Newlands,Ohlstedt,Weltevreden","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive)",,,,,,"They reported feed from the manufacturer and on-farm feed together, and thus ""Not specified"" was selected for settings. They did not report the prevalence separately for feed from the manufacturer vs feed from the farm."
4961,SarahTotton,3,1998,Germany,Europe,Single group observational,Yes,Not specified,Poultry,S. Infantis,"Mbandaka,Tennessee,Montevideo,Infantis,Agona,Enteritidis,Rissen,ohio,II,Virchow,Othmarschen,Grampian,Kivu,Newington,Mokola,Newlands,Ohlstedt,Weltevreden",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laying hens,feed,not reported,"Prevalence / proportion positive,Molecular characteristics,Antimicrobial resistance,Results were combined among sample types,Serotype(s) present in food / food environment / food equipment","Mbandaka,Tennessee,Montevideo,Infantis,Agona,Enteritidis,Rissen,ohio,II,Virchow,Othmarschen,Grampian,Kivu,Newington,Mokola,Newlands,Ohlstedt,Weltevreden","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive)",,,,,,"They reported feed from the manufacturer and on-farm feed together, and thus ""Not specified"" was selected for settings. They did not report the prevalence separately for feed from the manufacturer vs feed from the farm."
4961,SarahTotton,3,1998,Germany,Europe,Single group observational,Yes,Not specified,Poultry,S. Agona,"Mbandaka,Tennessee,Montevideo,Infantis,Agona,Enteritidis,Rissen,ohio,II,Virchow,Othmarschen,Grampian,Kivu,Newington,Mokola,Newlands,Ohlstedt,Weltevreden",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laying hens,feed,not reported,"Prevalence / proportion positive,Molecular characteristics,Antimicrobial resistance,Results were combined among sample types,Serotype(s) present in food / food environment / food equipment","Mbandaka,Tennessee,Montevideo,Infantis,Agona,Enteritidis,Rissen,ohio,II,Virchow,Othmarschen,Grampian,Kivu,Newington,Mokola,Newlands,Ohlstedt,Weltevreden","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive)",,,,,,"They reported feed from the manufacturer and on-farm feed together, and thus ""Not specified"" was selected for settings. They did not report the prevalence separately for feed from the manufacturer vs feed from the farm."
4961,SarahTotton,3,1998,Germany,Europe,Single group observational,Yes,Not specified,Poultry,S. Enteritidis,"Mbandaka,Tennessee,Montevideo,Infantis,Agona,Enteritidis,Rissen,ohio,II,Virchow,Othmarschen,Grampian,Kivu,Newington,Mokola,Newlands,Ohlstedt,Weltevreden",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laying hens,feed,not reported,"Prevalence / proportion positive,Molecular characteristics,Antimicrobial resistance,Results were combined among sample types,Serotype(s) present in food / food environment / food equipment","Mbandaka,Tennessee,Montevideo,Infantis,Agona,Enteritidis,Rissen,ohio,II,Virchow,Othmarschen,Grampian,Kivu,Newington,Mokola,Newlands,Ohlstedt,Weltevreden","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive)",,,,,,"They reported feed from the manufacturer and on-farm feed together, and thus ""Not specified"" was selected for settings. They did not report the prevalence separately for feed from the manufacturer vs feed from the farm."
1128,"SarahTotton,Ellen_Vriezen",3,2017,Austria,Europe,Laboratory study (experimental),Yes,Not specified,Poultry,S. spp,"Not specified / any or all combined / Salmonella spp.,Tennessee,Montevideo,Give,Rissen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Broiler chickens,Laying hens,Poultry, not further specified",feed,"soybean meal,Ground milk thistle seeds,Corn gluten","Prevalence / proportion positive,Concentration,Survival time,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Tennessee,Montevideo,Give,Rissen","Estimating prevalence of Salmonella,Estimating concentration of Salmonella,Estimating survival time of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,organic acid feed additives,
1128,"SarahTotton,Ellen_Vriezen",3,2017,Austria,Europe,Laboratory study (experimental),Yes,Not specified,Poultry,S. Montevideo,"Not specified / any or all combined / Salmonella spp.,Tennessee,Montevideo,Give,Rissen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Broiler chickens,Laying hens,Poultry, not further specified",feed,"soybean meal,Ground milk thistle seeds,Corn gluten","Prevalence / proportion positive,Concentration,Survival time,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Tennessee,Montevideo,Give,Rissen","Estimating prevalence of Salmonella,Estimating concentration of Salmonella,Estimating survival time of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,organic acid feed additives,
1128,"SarahTotton,Ellen_Vriezen",3,2017,Austria,Europe,Laboratory study (experimental),Yes,Not specified,Poultry,S. Tennessee,"Not specified / any or all combined / Salmonella spp.,Tennessee,Montevideo,Give,Rissen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Broiler chickens,Laying hens,Poultry, not further specified",feed,"soybean meal,Ground milk thistle seeds,Corn gluten","Prevalence / proportion positive,Concentration,Survival time,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Tennessee,Montevideo,Give,Rissen","Estimating prevalence of Salmonella,Estimating concentration of Salmonella,Estimating survival time of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,organic acid feed additives,
1752,"Ellen_Vriezen,Mikalya_Plishka",3,2015,Denmark,Europe,Molecular studies,Yes,Not specified,Poultry,S. Typhimurium,Typhimurium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Broiler chickens,feed,not reported,"Molecular characteristics,Serotype(s) present in food / food environment / food equipment",Typhimurium,"Molecular characterization (descriptive),Comparison of molecular characterization between sources,Outbreak investigation",,,,,,
9267,"Ellen_Vriezen,Mikalya_Plishka",3,2006,Slovenia,Europe,Diagnostic test evaluation,Yes,Not specified,Poultry,S. Typhimurium,Typhimurium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Broiler chickens,Laying hens",feed,not reported,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment",Typhimurium,"Development of validation of methods for detection of Salmonella,Estimating prevalence of Salmonella",Deliberately innoculated,,"DNA-based,Enrichment methods",,,
3449,"Ellen_Vriezen,Mikalya_Plishka",3,2008,France,Europe,Diagnostic test evaluation,Yes,Not specified,Poultry,S. Typhimurium,Typhimurium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Domestic ducks,feed,not reported,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment",Typhimurium,Development of validation of methods for detection of Salmonella,Deliberately innoculated,,Culture-based,,,
4858,"SarahTotton,Mikalya_Plishka",3,1999,Spain,Europe,Laboratory study (experimental),Yes,Not specified,Poultry,S. Typhimurium,Typhimurium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Poultry, not further specified",feed,not reported,"Concentration,Survival time,Serotype(s) present in food / food environment / food equipment",Typhimurium,Evaluation of interventions to reduce Salmonella,,,,,raw extract of Arthrinium strains,
