Refid,country,continent,st_design,transport?,setting,species,serotype,trans_serotype,field_sources,field_outcomes,field_serotype,field_purpose,field_risk,field_interv,plant_species,plant_sources,plant_feedstuff,plant_outcomes,plant_serotype,plant_purpose,plant_innoc,plant_lab,plant_risk,plant_surv,plant_interv,trans_species,trans_sources,trans_feedstuff,trans_outcomes,trans_serotype,trans_purpose,trans_risk,retail_species,retail_sources,retail_feedstuff,retail_outcomes,retail_serotype,retail_purpose,retail_innoc,retail_lab,retail_risk,farm_species,farm_sources,farm_feedstuff,farm_outcomes,farm_serotype,farm_purpose,farm_innoc,farm_surv,farm_lab,farm_risk,farm_interv,NR_species,NR_sources,NR_feedstuff,NR_outcomes,NR_serotype,NR_purpose,NR_innoc,NR_surv,NR_lab,NR_risk,NR_interv,Comments
12169,Norway,Europe,Single group observational,Yes,Feed transportation (e.g. feed trucks),Fish,S. spp,Not specified / any or all combined / Salmonella spp.,,,,,,,,,,,,,,,,,,Fish / shellfish,feed,fish meal,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All samples were negative for Salmonella.
4514,USA,North America,Single group observational,Yes,Feed transportation (e.g. feed trucks),Poultry,S. spp,"Not specified / any or all combined / Salmonella spp.,Mbandaka,Tennessee,Oranienburg,Schwarzengrund,Livingstone,arkansas,Roterberg,Brandenburg",,,,,,,,,,,,,,,,,,"Poultry, not further specified",feed,animal byproducts,"Prevalence / proportion positive,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Mbandaka,Tennessee,Oranienburg,Schwarzengrund,Livingstone,arkansas,Roterberg,Brandenburg","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"After discussion with Ellen, we decided to extract this as feed transportation rather than feed mill as they sampled the feed at the feed mill while it was being offloaded (presumably from trucks)"
4514,USA,North America,Single group observational,Yes,Feed transportation (e.g. feed trucks),Poultry,S. Mbandaka,"Not specified / any or all combined / Salmonella spp.,Mbandaka,Tennessee,Oranienburg,Schwarzengrund,Livingstone,arkansas,Roterberg,Brandenburg",,,,,,,,,,,,,,,,,,"Poultry, not further specified",feed,animal byproducts,"Prevalence / proportion positive,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Mbandaka,Tennessee,Oranienburg,Schwarzengrund,Livingstone,arkansas,Roterberg,Brandenburg","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"After discussion with Ellen, we decided to extract this as feed transportation rather than feed mill as they sampled the feed at the feed mill while it was being offloaded (presumably from trucks)"
4514,USA,North America,Single group observational,Yes,Feed transportation (e.g. feed trucks),Poultry,S. Tennessee,"Not specified / any or all combined / Salmonella spp.,Mbandaka,Tennessee,Oranienburg,Schwarzengrund,Livingstone,arkansas,Roterberg,Brandenburg",,,,,,,,,,,,,,,,,,"Poultry, not further specified",feed,animal byproducts,"Prevalence / proportion positive,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Mbandaka,Tennessee,Oranienburg,Schwarzengrund,Livingstone,arkansas,Roterberg,Brandenburg","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"After discussion with Ellen, we decided to extract this as feed transportation rather than feed mill as they sampled the feed at the feed mill while it was being offloaded (presumably from trucks)"
4514,USA,North America,Single group observational,Yes,Feed transportation (e.g. feed trucks),Poultry,S. Livingstone,"Not specified / any or all combined / Salmonella spp.,Mbandaka,Tennessee,Oranienburg,Schwarzengrund,Livingstone,arkansas,Roterberg,Brandenburg",,,,,,,,,,,,,,,,,,"Poultry, not further specified",feed,animal byproducts,"Prevalence / proportion positive,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Mbandaka,Tennessee,Oranienburg,Schwarzengrund,Livingstone,arkansas,Roterberg,Brandenburg","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"After discussion with Ellen, we decided to extract this as feed transportation rather than feed mill as they sampled the feed at the feed mill while it was being offloaded (presumably from trucks)"
4514,USA,North America,Single group observational,Yes,Feed transportation (e.g. feed trucks),Poultry,S. Oranienburg,"Not specified / any or all combined / Salmonella spp.,Mbandaka,Tennessee,Oranienburg,Schwarzengrund,Livingstone,arkansas,Roterberg,Brandenburg",,,,,,,,,,,,,,,,,,"Poultry, not further specified",feed,animal byproducts,"Prevalence / proportion positive,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Mbandaka,Tennessee,Oranienburg,Schwarzengrund,Livingstone,arkansas,Roterberg,Brandenburg","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"After discussion with Ellen, we decided to extract this as feed transportation rather than feed mill as they sampled the feed at the feed mill while it was being offloaded (presumably from trucks)"
4514,USA,North America,Single group observational,Yes,Feed transportation (e.g. feed trucks),Poultry,S. Schwarzengrund,"Not specified / any or all combined / Salmonella spp.,Mbandaka,Tennessee,Oranienburg,Schwarzengrund,Livingstone,arkansas,Roterberg,Brandenburg",,,,,,,,,,,,,,,,,,"Poultry, not further specified",feed,animal byproducts,"Prevalence / proportion positive,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Mbandaka,Tennessee,Oranienburg,Schwarzengrund,Livingstone,arkansas,Roterberg,Brandenburg","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"After discussion with Ellen, we decided to extract this as feed transportation rather than feed mill as they sampled the feed at the feed mill while it was being offloaded (presumably from trucks)"
4371,USA,North America,Single group observational,Yes,"Feed transportation (e.g. feed trucks),On-farm (including farmed fish sites)",Poultry,S. spp,Not specified / any or all combined / Salmonella spp.,,,,,,,,,,,,,,,,,,Turkeys,"feed,equipment",Not reported,"Results were combined among sample types,Serotype(s) present in food / food environment / food equipment",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present",,,,,,,,,,,Turkeys,feed,Not specified,"Prevalence / proportion positive,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Worthington,Muenster","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present",,,,,,,,,,,,,,,,,"There were 2 positive samples from the farm: one Worthington, one Senftenberg. I couldn't find any information about isolates from the feed truck (they were lumped with other ""environmental samples"".  Assuming the augur is associated with the feed truck."
12183,USA,North America,Analytical observational,Yes,Feed transportation (e.g. feed trucks),Swine,S. spp,"Not specified / any or all combined / Salmonella spp.,Montevideo,Infantis,Oranienburg,Derby,Orion,rough,untypable 6,7
K-monophasic",,,,,,,,,,,,,,,,,,Swine,"feed,environment","meat and bone meal,fish meal,corn,soybean meal,meat,bonemeal","Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Montevideo,Infantis,Oranienburg,Derby,Orion,rough,untypable 6,7
K-monophasic","Estimating prevalence of Salmonella,Determining serotypes present,Risk factors for prevalence or concentration of Salmonella","transportation characteristics,feed characteristics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12183,USA,North America,Analytical observational,Yes,Feed transportation (e.g. feed trucks),Swine,S.Montevideo,"Not specified / any or all combined / Salmonella spp.,Montevideo,Infantis,Oranienburg,Derby,Orion,rough,untypable 6,7
K-monophasic",,,,,,,,,,,,,,,,,,Swine,"feed,environment","meat and bone meal,fish meal,corn,soybean meal,meat,bonemeal","Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Montevideo,Infantis,Oranienburg,Derby,Orion,rough,untypable 6,7
K-monophasic","Estimating prevalence of Salmonella,Determining serotypes present,Risk factors for prevalence or concentration of Salmonella","transportation characteristics,feed characteristics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12183,USA,North America,Analytical observational,Yes,Feed transportation (e.g. feed trucks),Swine,S. Infantis,"Not specified / any or all combined / Salmonella spp.,Montevideo,Infantis,Oranienburg,Derby,Orion,rough,untypable 6,7
K-monophasic",,,,,,,,,,,,,,,,,,Swine,"feed,environment","meat and bone meal,fish meal,corn,soybean meal,meat,bonemeal","Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Montevideo,Infantis,Oranienburg,Derby,Orion,rough,untypable 6,7
K-monophasic","Estimating prevalence of Salmonella,Determining serotypes present,Risk factors for prevalence or concentration of Salmonella","transportation characteristics,feed characteristics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12183,USA,North America,Analytical observational,Yes,Feed transportation (e.g. feed trucks),Swine,S. Oranienburg,"Not specified / any or all combined / Salmonella spp.,Montevideo,Infantis,Oranienburg,Derby,Orion,rough,untypable 6,7
K-monophasic",,,,,,,,,,,,,,,,,,Swine,"feed,environment","meat and bone meal,fish meal,corn,soybean meal,meat,bonemeal","Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Montevideo,Infantis,Oranienburg,Derby,Orion,rough,untypable 6,7
K-monophasic","Estimating prevalence of Salmonella,Determining serotypes present,Risk factors for prevalence or concentration of Salmonella","transportation characteristics,feed characteristics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12183,USA,North America,Analytical observational,Yes,Feed transportation (e.g. feed trucks),Swine,S. Orion,"Not specified / any or all combined / Salmonella spp.,Montevideo,Infantis,Oranienburg,Derby,Orion,rough,untypable 6,7
K-monophasic",,,,,,,,,,,,,,,,,,Swine,"feed,environment","meat and bone meal,fish meal,corn,soybean meal,meat,bonemeal","Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Montevideo,Infantis,Oranienburg,Derby,Orion,rough,untypable 6,7
K-monophasic","Estimating prevalence of Salmonella,Determining serotypes present,Risk factors for prevalence or concentration of Salmonella","transportation characteristics,feed characteristics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9140,Brazil,South America,Analytical observational,Yes,Feed transportation (e.g. feed trucks),Not Reported,S. spp,Not specified / any or all combined / Salmonella spp.,,,,,,,,,,,,,,,,,,Not reported,feed,"animal byproducts,feather meal,meat and bone meal","Prevalence / proportion positive,Concentration",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Estimating concentration of Salmonella,Risk factors for prevalence or concentration of Salmonella",feed characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5719,Not reported,Not Reported,Analytical observational,Yes,"Feed manufacturing plant,Feed transportation (e.g. feed trucks)",Poultry,S. spp,Not specified / any or all combined / Salmonella spp.,,,,,,,Broiler chickens,"feed,environment","Not reported,pelleted feed",Prevalence / proportion positive,Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Evaluation of interventions to reduce Salmonella,Comparison of prevalence between sources",,,,,heat,Broiler chickens,equipment,,Results were combined among sample types,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
