Refid,country,continent,st_design,setting1,setting,species,species1,species2,,plant_species,plant_species,trans_species,retail_species,farm_species,NR_species
2008,Norway,Europe,Analytical observational,Feed manufacturing plant,Feed Manufacturing Plant,Cattle or Buffalo,"Cattle, Swine, Poultry, Not reported","Cattle, not further specified,Swine,Poultry, not further specified,Not reported",,,"Poultry, not further specified",,,,
2826,Spain,Europe,Analytical observational,Feed manufacturing plant,Feed Manufacturing Plant,Cattle or Buffalo,"Cattle, Sheep, Swine, Poultry, Not reported","Cattle, not further specified,Sheep,Swine,Poultry, not further specified,Not reported",,,Broiler chickens,,,,
9943,United Kingdom,Europe,Analytical observational,Feed manufacturing plant,Feed Manufacturing Plant,Cattle or Buffalo,"Cattle, Swine, Poultry, Not reported","Cattle, not further specified,Swine,Poultry, not further specified,Not reported",,,Not reported,,,,
1487,Serbia,Europe,Laboratory study (experimental),Feed manufacturing plant,Feed Manufacturing Plant,Cattle or Buffalo,"Cattle, Swine, Poultry","Cattle, not further specified,Swine,Poultry, not further specified",,,Not reported,,,,
1645,Germany,Europe,Single group observational,Feed manufacturing plant,Feed Manufacturing Plant,Cattle or Buffalo,"Cattle, Swine ","Cattle, not further specified,Swine",,,Not reported,,,,
4251,Switzerland,Europe,Single group observational,Feed manufacturing plant,Feed Manufacturing Plant,Cattle or Buffalo,"Cattle, Swine, Poultry","Dairy cattle,Beef cattle,Swine,Broiler chickens,Laying hens",,,"Swine,Poultry, not further specified,Not reported",,,,
2189,United Kingdom,Europe,Analytical observational,"Field used to grow animal feeds,Feed manufacturing plant,On-farm (including farmed fish sites)",Multiple,Cattle or Buffalo,"Cattle, Swine, Not reported","Not reported, cattle, swine",,,Broiler chickens,,,,
9604,Serbia,Europe,Laboratory study (experimental),"Feed manufacturing plant,Not specified",Multiple,Cattle or Buffalo,"Cattle, Swine, Poultry, Not reported","Cattle, not further specified,Swine,Poultry, not further specified, Not reported",,,Not reported,,,,
16446,Belgium,Europe,Analytical observational,Not specified,Not Specified,Cattle or Buffalo,"Cattle, Swine, Poultry, Not reported","Cattle, not further specified,Swine,Broiler chickens,Poultry, not further specified,Not reported",,,"Cattle, not further specified,Swine",,,,
3075,Great Britain,Europe,Analytical observational,Not specified,Not Specified,Cattle or Buffalo,"Cattle, Sheep, Ruminants, Swine, Poultry, Not reported","Cattle, not further specified,Sheep,Ruminants, not further specified,Swine,Poultry, not further specified,Not reported",,,Swine,,,,
9292,Poland,Europe,Analytical observational,Not specified,Not Specified,Cattle or Buffalo,"Cattle, Swine, Poultry, Fish, Not reported","Cattle, not further specified,Swine,Poultry, not further specified,Fish  / shellfish,Not reported",,,"Broiler chickens,Laying hens",,,,
9119,Sweden,Europe,Diagnostic test evaluation,Not specified,Not Specified,Cattle or Buffalo,"Cattle, Sheep, Swine, Poultry","Cattle, not further specified,Sheep,Swine,Laying hens,Chicken, not further specified",,,Not reported,,,,
9257,Serbia,Europe,Molecular studies,Not specified,Not Specified,Cattle or Buffalo,"Cattle, Swine, Poultry, Not reported","Cattle, not further specified,Swine,Poultry, not further specified,Not reported",,,"Cattle, not further specified,Sheep,Swine",,,,
1599,USA,North America,Analytical observational,On-farm (including farmed fish sites),On-farm,Cattle or Buffalo,Cattle,Beef cattle,,,"Swine,Not reported",,,,
1919,USA,North America,Analytical observational,On-farm (including farmed fish sites),On-farm,Cattle or Buffalo,Cattle,Dairy cattle,,,Not reported,,,,
3445,USA,North America,Analytical observational,On-farm (including farmed fish sites),On-farm,Cattle or Buffalo,Cattle,Dairy cattle,,,Swine,,,,
3987,USA,North America,Analytical observational,On-farm (including farmed fish sites),On-farm,Cattle or Buffalo,Cattle,Beef cattle,,,Swine,,,,
5461,USA,North America,Analytical observational,On-farm (including farmed fish sites),On-farm,Cattle or Buffalo,Cattle,"Cattle, not further specified",,,Not reported,,,,
9498,USA,North America,Analytical observational,On-farm (including farmed fish sites),On-farm,Cattle or Buffalo,Cattle,Beef cattle,,,Not reported,,,,
12661,USA,North America,Analytical observational,On-farm (including farmed fish sites),On-farm,Cattle or Buffalo,Cattle,"Dairy cattle,Beef cattle",,,Not reported,,,,
4083,USA,North America,Challenge trial in natural setting,On-farm (including farmed fish sites),On-farm,Cattle or Buffalo,Cattle,Dairy cattle,,,"Poultry, not further specified",,,,
3296,Canada,North America,Clinical / field trial with natural disease exposure,On-farm (including farmed fish sites),On-farm,Cattle or Buffalo,Cattle,"Cattle, not further specified",,,"Laying hens,Poultry, not further specified",,,,
2818,USA,North America,Clinical / field trial with natural disease exposure,On-farm (including farmed fish sites),On-farm,Cattle or Buffalo,Cattle,"Cattle, not further specified",,,"Laying hens,Poultry, not further specified",,,,
3900,USA,North America,Diagnostic test evaluation,On-farm (including farmed fish sites),On-farm,Cattle or Buffalo,Cattle,Dairy cattle,,,"Cattle, not further specified,Swine,Poultry, not further specified,Not reported",,,,
1424,USA,North America,Laboratory study (experimental),On-farm (including farmed fish sites),On-farm,Cattle or Buffalo,Cattle,Dairy cattle,,,"Fish / shellfish,Not reported",,,,
19466,Canada,North America,Single group observational,On-farm (including farmed fish sites),On-farm,Cattle or Buffalo,Cattle,"Cattle, not further specified",,,Not reported,,,,
1106,USA,North America,Single group observational,On-farm (including farmed fish sites),On-farm,Cattle or Buffalo,Cattle,Dairy cattle,,,"Fish / shellfish,Not reported",,,,
1737,USA,North America,Single group observational,On-farm (including farmed fish sites),On-farm,Cattle or Buffalo,Cattle,Beef cattle,,,Fish / shellfish,,,,
1738,USA,North America,Single group observational,On-farm (including farmed fish sites),On-farm,Cattle or Buffalo,Cattle,Beef cattle,,,Not reported,,,,
3426,USA,North America,Single group observational,On-farm (including farmed fish sites),On-farm,Cattle or Buffalo,Cattle,Dairy cattle,,,"Poultry, not further specified",,,,
3785,USA,North America,Single group observational,On-farm (including farmed fish sites),On-farm,Cattle or Buffalo,Cattle,Dairy cattle,,,Broiler chickens,,,,
4066,USA,North America,Single group observational,On-farm (including farmed fish sites),On-farm,Cattle or Buffalo,Cattle,Dairy cattle,,,Broiler chickens,,,,
4235,USA,North America,Single group observational,On-farm (including farmed fish sites),On-farm,Cattle or Buffalo,Cattle,Dairy cattle,,,Not reported,,,,
4428,USA,North America,Single group observational,On-farm (including farmed fish sites),On-farm,Cattle or Buffalo,Cattle,Dairy cattle,,,Not reported,,,,
4574,USA,North America,Single group observational,On-farm (including farmed fish sites),On-farm,Cattle or Buffalo,Cattle,"Dairy cattle,Beef cattle",,,Not reported,,,,
4939,USA,North America,Single group observational,On-farm (including farmed fish sites),On-farm,Cattle or Buffalo,Cattle,Dairy cattle,,,Not reported,,,,
19469,USA,North America,Single group observational,On-farm (including farmed fish sites),On-farm,Cattle or Buffalo,Cattle,Beef cattle,,,"Poultry, not further specified",,,,
21441,USA,North America,Analytical observational,"Field used to grow animal feeds,On-farm (including farmed fish sites)",Multiple,Cattle or Buffalo,Cattle,"Cattle, not further specified",,,Swine,,,,
4234,USA,North America,Single group observational,"Feed manufacturing plant,On-farm (including farmed fish sites)",Multiple,Cattle or Buffalo,Cattle,Dairy cattle,,,"Laying hens,Chickens, not further specified",,,,
3617,USA,North America,Laboratory study (experimental),Not specified,Not Specified,Cattle or Buffalo,Cattle,"Cattle, not further specified",,,Not reported,,,,
19919,USA,North America,Molecular studies,Not specified,Not Specified,Cattle or Buffalo,Cattle,"Cattle, not further specified,Swine",,,"Poultry, not further specified,Not reported",,,,
7948,USA,North America,Single group observational,Feed manufacturing plant,Feed Manufacturing Plant,Cattle or Buffalo,"Cattle, Not reported","Dairy cattle,Beef cattle,Not reported",,,"Poultry, not further specified",,,,
1621,USA,North America,Analytical observational,On-farm (including farmed fish sites),On-farm,Cattle or Buffalo,"Cattle, Goat, Swine, Poultry","Cattle, not further specified,Goats,Swine,Broiler chickens,Laying hens",,,Not reported,,,,
13916,USA,North America,Analytical observational,"Field used to grow animal feeds,On-farm (including farmed fish sites)",Multiple,Cattle or Buffalo,"Cattle, Swine, Poultry","Dairy cattle,Beef cattle,Swine,Poultry, not further specified",,,Not reported,,,,
5729,USA,North America,Diagnostic test evaluation,"Animal feed at retail,On-farm (including farmed fish sites)",Multiple,Cattle or Buffalo,"Cattle, Swine, Poultry","Cattle, not further specified,Swine,Poultry, not further specified,Turkeys,Other farmed poultry,Not reported",,,"Broiler chickens,Laying hens",,,,
2494,USA,North America,Analytical observational,Not specified,Not Specified,Cattle or Buffalo,"Cattle, Swine, Poultry","Cattle, not further specified,Swine,Poultry, not further specified",,,"Ruminants, not further specified,Swine,Poultry, not further specified,Not reported",,,,
4206,USA,North America,Diagnostic test evaluation,Not specified,Not Specified,Cattle or Buffalo,"Cattle, Swine, Poultry","Dairy cattle,Swine,Poultry, not further specified",,,Not reported,,,,
1558,USA,North America,Single group observational,Not specified,Not Specified,Cattle or Buffalo,"Cattle, Sheep, Goats, Swine, Poultry","Dairy cattle,Beef cattle,Sheep,Goats,Swine,Poultry, not further specified",,,"Cattle, not further specified,Swine,Poultry, not further specified",,,,
5394,USA,North America,Single group observational,Not specified,Not Specified,Cattle or Buffalo,"Cattle, Sheep, Goat, Swine, Poultry, Not reported","Dairy cattle,Beef cattle,Sheep,Goats,Swine,Poultry, not further specified,Not reported",,,Not reported,,,,
3488,Australia,Oceania,Single group observational,On-farm (including farmed fish sites),On-farm,Cattle or Buffalo,Cattle,Dairy cattle,,,Swine,,,,
1918,Australia,Oceania,Single group observational,On-farm (including farmed fish sites),On-farm,Cattle or Buffalo,"Cattle, Sheep, Goat","Dairy cattle,Sheep,Goats",,,Not reported,,,,
607,Venezuela,South America,Single group observational,On-farm (including farmed fish sites),On-farm,Cattle or Buffalo,Cattle,"Dairy cattle,Beef cattle",,,"Cattle, not further specified,Sheep,Swine,Poultry, not further specified,Not reported",,,,
12709,Brazil,South America,Laboratory study (experimental),Not specified,Not Specified,Cattle or Buffalo,Cattle,Dairy cattle,,,Not reported,,,,
2030,Brazil,South America,Challenge trial in natural setting,Field used to grow animal feeds,Field Used to Grow Animal Feeds,Cattle or Buffalo,"Cattle, Goats","Cattle, not further specified,Goats",,,"Swine,Not reported",,,,
10146,Not reported,Not Reported,Clinical / field trial with natural disease exposure,On-farm (including farmed fish sites),On-farm,Cattle or Buffalo,Buffalo,Buffalo / bison,,,"Swine,Not reported",,,,
7788,Not reported,Not Reported,Clinical / field trial with natural disease exposure,On-farm (including farmed fish sites),On-farm,Cattle or Buffalo,Cattle,Beef cattle,,,"Swine,Not reported",,,,
5003,Not reported,Not Reported,Single group observational,On-farm (including farmed fish sites),On-farm,Cattle or Buffalo,Cattle,Dairy cattle,,,Swine,,,,
7760,Not reported,Not Reported,Single group observational,On-farm (including farmed fish sites),On-farm,Cattle or Buffalo,Cattle,Swine,,,Swine,,,,
8090,Not reported,Not Reported,Single group observational,On-farm (including farmed fish sites),On-farm,Cattle or Buffalo,Cattle,"Cattle, not further specified",,,"Swine,Not reported",,,,
2003,Not reported,Not Reported,Laboratory study (experimental),Not specified,Not Specified,Cattle or Buffalo,Cattle,"Cattle, not further specified",,,"Swine,Not reported",,,,
20005,Not reported,Not Reported,Laboratory study (experimental),Not specified,Not Specified,Cattle or Buffalo,Cattle,Beef cattle,,,"Swine,Not reported",,,,
1488,Not reported,Not Reported,Diagnostic test evaluation,Animal feed at retail,Retail,Cattle or Buffalo,"Cattle, Poultry","Cattle, not further specified,Chickens, not further specified",,,Not reported,,,,
944,Not reported,Not Reported,Laboratory study (experimental),Animal feed at retail,Retail,Cattle or Buffalo,"Cattle, Swine, Poultry","Cattle, not further specified,Swine,Chickens, not further specified",,,Not reported,,,,
1269,Not reported,Not Reported,Diagnostic test evaluation,Not specified,Not Specified,Cattle or Buffalo,"Cattle, Not reported","Cattle, not further specified,Not reported",,,Not reported,,,,
4654,Not reported,Not Reported,Diagnostic test evaluation,Not specified,Not Specified,Cattle or Buffalo,"Cattle, Swine, Poultry, Not reported","Cattle, not further specified,Swine,Chicken, not further specified,Turkeys,Other farmed poultry,Not reported",,,Not reported,,,,
6485,Egypt,Africa,Laboratory study (experimental),Not specified,Not Specified,Fish,Fish,Fish  / shellfish,,,Not reported,,,,
5707,Bangladesh,Asia,Analytical observational,On-farm (including farmed fish sites),On-farm,Fish,Fish,Fish  / shellfish,,,Not reported,,,,
18834,India,Asia,Analytical observational,On-farm (including farmed fish sites),On-farm,Fish,Fish,Fish  / shellfish,,,Not reported,,,,
1176,China,Asia,Single group observational,On-farm (including farmed fish sites),On-farm,Fish,Fish,Fish  / shellfish,,,Not reported,,,,
5225,Thailand,Asia,Single group observational,On-farm (including farmed fish sites),On-farm,Fish,Fish,Fish  / shellfish,,,Not reported,,,,
21425,China,Asia,Single group observational,Animal feed at retail,Retail,Fish,Fish,Fish  / shellfish,,,Not reported,,,,
9415,Iran,Asia,Laboratory study (experimental),Not specified,Not Specified,Fish,Fish,Fish  / shellfish,,,Not reported,,,,
2889,Norway,Europe,Laboratory study (experimental),Feed manufacturing plant,Feed Manufacturing Plant,Fish,Fish,"Fish / shellfish,Not reported",,,Not reported,,,,
4244,Norway,Europe,Laboratory study (experimental),Feed manufacturing plant,Feed Manufacturing Plant,Fish,Fish,Fish / shellfish,,,Not reported,,,,
12169,Norway,Europe,Single group observational,Feed transportation (e.g. feed trucks),Feed Transportation,Fish,Fish,Fish / shellfish,,,Swine,,,,
799,Portugal,Europe,Single group observational,On-farm (including farmed fish sites),On-farm,Fish,Fish,Fish  / shellfish,,,Swine,,,,
4298,Norway,Europe,Molecular studies,"Feed manufacturing plant,Not specified",Multiple,Fish,Fish,Fish / shellfish,,,"Dairy cattle,Beef cattle,Swine,Broiler chickens,Laying hens",,,,
3960,Norway,Europe,Molecular studies,Feed manufacturing plant,Feed Manufacturing Plant,Fish,"Fish, Not reported","Fish / shellfish,Not reported",,,"Dairy cattle,Beef cattle,Swine,Broiler chickens,Laying hens",,,,
9292,Poland,Europe,Analytical observational,Not specified,Not Specified,Fish,"Cattle, Swine, Poultry, Fish, Not reported","Cattle, not further specified,Swine,Poultry, not further specified,Fish  / shellfish,Not reported",,,"Dairy cattle,Beef cattle,Swine,Broiler chickens,Laying hens",,,,
5025,USA,North America,Single group observational,On-farm (including farmed fish sites),On-farm,Fish,Fish,Fish  / shellfish,,,"Dairy cattle,Beef cattle,Swine,Broiler chickens,Laying hens",,,,
6858,Brazil,South America,Single group observational,On-farm (including farmed fish sites),On-farm,Fish,Fish,Fish  / shellfish,,,"Broiler chickens,Laying hens",,,,
12611,Not reported,Not Reported,Single group observational,Animal feed at retail,Retail,Fish,Fish,Fish  / shellfish,,,"Broiler chickens,Laying hens",,,,
5375,Not reported,Not Reported,Diagnostic test evaluation,Not specified,Not Specified,Fish,"Poultry, Fish, Not reported","Poultry, not further specified,Fish  / shellfish,Not reported",,,"Broiler chickens,Laying hens,Turkeys",,,,
9188,USA,North America,Analytical observational,Animal feed at retail,Retail,Goats,Goats,"Goats,Not reported",,,"Broiler chickens,Laying hens,Turkeys",,,,
1621,USA,North America,Analytical observational,On-farm (including farmed fish sites),On-farm,Goats,"Cattle, Goat, Swine, Poultry","Cattle, not further specified,Goats,Swine,Broiler chickens,Laying hens",,,"Laying hens,Chickens, not further specified",,,,
1558,USA,North America,Single group observational,Not specified,Not Specified,Goats,"Cattle, Sheep, Goats, Swine, Poultry","Dairy cattle,Beef cattle,Sheep,Goats,Swine,Poultry, not further specified",,,"Laying hens,Chickens, not further specified",,,,
5394,USA,North America,Single group observational,Not specified,Not Specified,Goats,"Cattle, Sheep, Goat, Swine, Poultry, Not reported","Dairy cattle,Beef cattle,Sheep,Goats,Swine,Poultry, not further specified,Not reported",,,Not reported,,,,
1918,Australia,Oceania,Single group observational,On-farm (including farmed fish sites),On-farm,Goats,"Cattle, Sheep, Goat","Dairy cattle,Sheep,Goats",,,Not reported,,,,
2030,Brazil,South America,Challenge trial in natural setting,Field used to grow animal feeds,Field Used to Grow Animal Feeds,Goats,"Cattle, Goats","Cattle, not further specified,Goats",,,Not reported,,,,
10929,Not reported,Not Reported,Single group observational,Not specified,Not Specified,Goats,Goats,Goats,,,"Poultry, not further specified,Not reported",,,,
16047,Not reported,Not Reported,Single group observational,Not specified,Not Specified,Goats,"Sheep, Goats","Sheep,Goats",,,"Poultry, not further specified,Not reported",,,,
9259,Tanzania,Africa,Analytical observational,Feed manufacturing plant,Feed Manufacturing Plant,Poultry,Poultry,"Broiler chickens,Laying hens",,,"Poultry, not further specified,Not reported",,,,
9180,Nigeria,Africa,Single group observational,Feed manufacturing plant,Feed Manufacturing Plant,Poultry,Poultry,"Laying hens,Poultry, not further specified",,,"Poultry, not further specified,Not reported",,,,
9455,Nigeria,Africa,Single group observational,Feed manufacturing plant,Feed Manufacturing Plant,Poultry,Poultry,"Laying hens,Poultry, not further specified",,,"Cattle, not further specified,Swine,Poultry, not further specified,Not reported",,,,
3026,Algeria,Africa,Single group observational,Feed transportation (e.g. feed trucks),Feed Transportation,Poultry,Poultry,"Broiler chickens,Laying hens",,,"Cattle, not further specified,Swine,Poultry, not further specified,Not reported",,,,
11098,Egypt,Africa,Analytical observational,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,Broiler chickens,,,Swine,,,,
96,Ethiopia,Africa,Analytical observational,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,"Chickens, not further specified",,,Swine,,,,
9347,Nigeria,Africa,Analytical observational,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,"Poultry, not further specified",,,Swine,,,,
19782,Uganda,Africa,Analytical observational,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,"Broiler chickens,Laying hens",,,Swine,,,,
18237,Egypt,Africa,Laboratory study (experimental),On-farm (including farmed fish sites),On-farm,Poultry,Poultry,"Poultry, not further specified",,,Swine,,,,
4395,Kenya,Africa,Molecular studies,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,"Chickens, not further specified",,,Swine,,,,
843,Algeria,Africa,Single group observational,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,Broiler chickens,,,Swine,,,,
1211,Algeria,Africa,Single group observational,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,Broiler chickens,,,Swine,,,,
11470,Egypt,Africa,Single group observational,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,Broiler chickens,,,Swine,,,,
11932,Egypt,Africa,Single group observational,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,Broiler chickens,,,Swine,,,,
14042,Ethiopia,Africa,Single group observational,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,"Chickens, not further specified",,,Swine,,,,
715,Ghana,Africa,Single group observational,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,"Poultry, not further specified",,,Swine,,,,
1647,Ghana,Africa,Single group observational,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,"Broiler chickens,Laying hens",,,Swine,,,,
1362,Nigeria,Africa,Single group observational,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,Laying hens,,,Swine,,,,
1432,Nigeria,Africa,Single group observational,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,Laying hens,,,Swine,,,,
10786,Nigeria,Africa,Single group observational,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,"Broiler chickens,Laying hens",,,Not reported,,,,
14917,Nigeria,Africa,Single group observational,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,"Poultry, not further specified",,,Not reported,,,,
10359,Nigeria,Africa,Analytical observational,Animal feed at retail,Retail,Poultry,Poultry,"Poultry, not further specified",,,Not reported,,,,
9254,Nigeria,Africa,Single group observational,Animal feed at retail,Retail,Poultry,Poultry,"Laying hens,Poultry, not further specified",,,Not reported,,,,
9261,Nigeria,Africa,Analytical observational,"Animal feed at retail,On-farm (including farmed fish sites)",Multiple,Poultry,Poultry,"Laying hens,Chickens, not further specified",,,Not reported,,,,
9143,Nigeria,Africa,Single group observational,"Feed manufacturing plant,Animal feed at retail,On-farm (including farmed fish sites)",Multiple,Poultry,Poultry,"Broiler chickens,Laying hens,Poultry, not further specified",,,Not reported,,,,
9777,Nigeria,Africa,Analytical observational,Not specified,Not Specified,Poultry,Poultry,"Broiler chickens,Laying hens,Poultry, not further specified",,,Not reported,,,,
10100,Nigeria,Africa,Molecular studies,Not specified,Not Specified,Poultry,Poultry,"Poultry, not further specified",,,Not reported,,,,
9429,Nigeria,Africa,Single group observational,Not specified,Not Specified,Poultry,Poultry,"Poultry, not further specified",,,Not reported,,,,
9211,Pakistan,Asia,Analytical observational,Feed manufacturing plant,Feed Manufacturing Plant,Poultry,Poultry,"Broiler chickens,Laying hens",,,Not reported,,,,
4682,Japan,Asia,Analytical observational,Feed transportation (e.g. feed trucks),Feed Transportation,Poultry,Poultry,Laying hens,,,Not reported,,,,
2471,Japan,Asia,Single group observational,Feed transportation (e.g. feed trucks),Feed Transportation,Poultry,Poultry,Laying hens,,,Not reported,,,,
221,Bangladesh,Asia,Analytical observational,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,Broiler chickens,,,Not reported,,,,
1093,China,Asia,Analytical observational,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,Laying hens,,,Not reported,,,,
11397,India,Asia,Analytical observational,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,"Chickens, not further specified",,,Not reported,,,,
12652,India,Asia,Analytical observational,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,Broiler chickens,,,Not reported,,,,
1495,Japan,Asia,Analytical observational,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,Broiler chickens,,,Not reported,,,,
4571,Japan,Asia,Analytical observational,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,Laying hens,,,Not reported,,,,
10452,Malaysia,Asia,Analytical observational,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,Laying hens,,,Not reported,,,,
839,South Korea,Asia,Analytical observational,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,Broiler chickens,,,Not reported,,,,
5181,Thailand,Asia,Analytical observational,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,"Broiler chickens,Laying hens,Chickens, not further specified",,,Not reported,,,,
11179,Thailand,Asia,Analytical observational,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,Domestic ducks,,,Not reported,,,,
12609,Thailand,Asia,Analytical observational,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,Domestic ducks,,,Not reported,,,,
13072,Thailand,Asia,Analytical observational,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,Broiler chickens,,,Not reported,,,,
2208,China,Asia,Clinical / field trial with natural disease exposure,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,Laying hens,,,Not reported,,,,
10543,India,Asia,Clinical / field trial with natural disease exposure,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,Laying hens,,,"Dairy cattle,Beef cattle,Not reported",,,,
532,China,Asia,Diagnostic test evaluation,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,"Chickens, not further specified",,,"Dairy cattle,Beef cattle,Not reported",,,,
9088,Iran,Asia,Diagnostic test evaluation,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,Broiler chickens,,Not reported,,,,,
4473,Taiwan,Asia,Diagnostic test evaluation,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,"Poultry, not further specified",,Not reported,,,,,
16666,India,Asia,Molecular studies,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,Turkeys,,,Not reported,,,,
199,Bangladesh,Asia,Single group observational,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,Broiler chickens,,,Not reported,,,,
9420,Bangladesh,Asia,Single group observational,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,Broiler chickens,,,Not reported,,,,
9786,Bangladesh,Asia,Single group observational,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,Broiler chickens,,,Not reported,,,,
255,China,Asia,Single group observational,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,"Chickens, not further specified",,,Not reported,,,,
12961,China,Asia,Single group observational,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,Laying hens,,,Not reported,,,,
